HSK1_Word	HSK2_Word	HSK3_Word	HSK4_Word
次	补课	博物馆	奔驰
从	补习	薄弱	奔腾
从…到…	不必	不安	本能
从…起	不大	不比	本钱
从前	不得不	不曾	本性
错	不得了	不对	本着
错误	不断	不够	笨蛋
打	不敢当	不顾	笨重
打算	不管	不见	笨拙
大	不过	不见得	崩溃
大概	不好意思	不禁	绷
大家	不仅	不觉	绷带
大声	不论	不可	蹦
大学	不平	不利	逼近
大夫	不然	不料	逼迫
戴	不少	不满	鼻涕
带	不是吗	不免	比分
代表	不行	不是	比价
但是	不幸	不是…而是…	比喻
当	不许	不是…就是	比重
当	不要紧	不停	笔迹
当然	不一定	不像话	笔直
刀	不住	不由得	彼
倒	布置	不在乎	碧绿
到	步	不怎么样	币
道	部	不止	闭幕式
道理	部队	不只	闭塞
得	部门	不足	弊病
得到	部长	布告	弊端
的	猜	步骤	必将
地	材料	部署	臂
得	踩	猜想	鞭策
…得很…	采	裁缝	鞭炮
得	采购	裁判	鞭子
灯	采取	才	边防
等	采用	才能	边境
等	彩色	财产	编号
低	餐厅	财富	编者按
地	藏	财政	贬低
地方	草地	餐车	贬义
第	草原	参考	贬值
弟弟	厕所	参谋	便道
点	册	蚕	变更
点	测验	残酷	变换
点	曾	惭愧	变迁
点心	曾经	惨	变形
点钟	插	灿烂	变质
电	叉子	苍白	辨别
电车	差	苍蝇	辨认
电灯	差不多	舱	辩护
电话	差点儿	仓库	辩解
电视	拆	操心	辩证
电影	产量	操纵	辫子
掉	产品	操作	辩证法
丢	产生	草案	遍地
东	尝	侧	标
东边	长期	测	标本
东西	长途	测量	标题
冬	超	测试	表彰
冬天	超过	插秧	憋
懂	抄	差别	别扭
动	抄写	茶馆	冰淇淋
动物	吵	茶话会	秉性
都	车间	茶叶	病虫害
读	彻底	铲	病毒
短	沉默	产物	病号
锻炼	趁	产值	并存
段	衬衫	颤动	并非
对	衬衣	颤抖	并列
对	称	常识	并排
对不起	称赞	长度	播放
顿	成分/成份	长久	播音
多	成功	长远	播种
多	成果	肠	拨款
多	成就	厂长	波动
多么	成立	场地	波涛
多少	成熟	场合	博览会
饿	成为	场面	薄膜
而且	成长	超额	搏斗
儿子	乘	钞票	驳斥
二	程度	潮	捕捞
发	诚恳	潮湿	捕捉
发烧	诚实	吵架	补偿
发生	承认	炒	补救
发现	吃惊	车辆	补贴
发展	尺	车厢	补助
法语/法文	翅膀	扯	卜
翻	充分	撤	不卑不亢
翻译	充满	尘土	不辞而别
反对	充足	沉	不当
饭	冲	沉思	不得
饭店	虫子	沉重	不得已
方便	重	陈列	不等
方法	重叠	撑	不定
方面	重复	称呼	不法
方向	重新	成	不妨
房间	崇高	成本	不公
访问	抽象	成千上万	不解
放	愁	成天	不堪
放假	臭	成语	不愧
非常	初	成员	不良
飞	初步	乘客	不容
飞机	初级	盛	不时
分	出版	程序	不惜
分	出口	承包	不相上下
…分之… 	出生	承担	不朽
分钟	出席	吃苦	不言而喻
丰富	出院	吃亏	不宜
封	厨房	吃力	不正之风
风	除	持久	不知不觉
夫人	处	池	不至于
服务	处分	迟	布局
服务员	处理	尺寸	步兵
辅导	处	尺子	步伐
复习	传	赤道	步行
复杂	传播	充实	步子
父亲	传统	冲击	埠
负责	闯	冲突	部件
附近	创	冲	部位
该	创造	仇	猜测
改	创作	仇恨	裁
改变	春节	丑	裁决
干净	此	初期	才干
感到	此外	初中	才智
感冒	刺	出路	财
感谢	聪明	出卖	财经
敢	从不/没	出门	财会
干	从…出发	出难题	财力
干部	从此	出身	财务
刚	从而	出事	采访
刚才	从来	出息	采集
钢笔	从事	出洋相	采纳
高	粗	出租	菜单
高兴	醋	除	餐
搞	促进	除非	参军
告诉	催	处于	参议院
哥哥	存	处处	参与
歌	存在	传达	参阅
个	寸	传染	参照
各	措施	传说	残
各种	搭	喘	残暴
给	答应	串	残疾
根	答	窗口	残忍
跟	答案	窗帘	残余
更	答卷	窗台	仓促
工厂	达到	床单	操
工人	打扮	创立	操劳
工业	打倒	创新	操练
工作	打扰	垂	槽
公共汽车	打听	垂直	草率
公斤	打针	春季	策划
公里	大胆	纯	策略
公园	大多数	纯洁	侧面
够	大会	瓷	测定
姑娘	大伙儿	词汇	测算
故事	大街	此刻	层出不穷
刮	大量	刺激	层次
挂	大陆	次	蹭
关	大米	次要	插嘴
关系	大批	伺候	叉
关心	大人	匆忙	差错
馆	大使馆	从容	差距
广播	大小	丛	差异
贵	大型	凑	查处
贵姓	大衣	粗心	查获
国	大约	粗心大意	查明
国家	呆	促使	查阅
过	呆	窜	刹那
过	代	摧毁	诧异
过来	代替	村庄	岔
过去	袋	村子	柴油
过去	待	搓	掺
哈哈	担任	挫折	搀
还	担心	错字	蝉
还是	单	答复	馋
孩子	单	达	谗言
海	单词	达成	缠
寒假	单调	打	产
喊	单位	打败	产地
汉语	但	打击	产区
汉字	淡	打架	产业
好	蛋	打交道	阐明
好	蛋糕	打量	阐述
好吃	当…的时候	打破	颤
好处	当地	打扫	昌盛
好看	当年	打仗	猖狂
好像	当前	打招呼	尝试
号	当时	大半	常规
喝	挡	大便	常见
和	党	大大	常年
合适	党员	大道	常务
河	当	大地	常用
黑	当做	大都	长处
黑板	刀子	大队	长短
很	岛	大方	长寿
红	到处	大哥	长征
后	到达	大力	偿
后边	到底	大脑	偿还
忽然	到底	大嫂	厂房
湖	倒	大使	厂家
互相	倒	大意	厂商
花	道	大致	场所
花	道	大众	敞开
画	道德	大自然	畅谈
画	道路	带儿	畅通
化学	道歉	带动	畅销
话	德语/德文	带领	倡议
坏	…的话…	带头	超产
欢迎	登	代	超出
还	登记	代办	超级
换	等	代价	超越
黄	等待	代理	朝代
回	等于	待遇	嘲笑
回	滴	逮捕	潮流
回答	敌人	耽误	吵闹
回来	的确	担	吵嘴
回去	底下	担负	车床
会	地带	单纯	撤退
会	地点	单独	撤销
会话	地方	胆	沉淀
活	地面	诞生	沉静
活	地球	蛋白质	沉闷
活动	地区	当	沉痛
火车	地图	当初	沉着
或者	地位	当代	陈旧
基本	地下	当家	陈述
基础	地址	当面	称心
机场	递	当中	称号
机会	电报	党派	城镇
机器	电冰箱	党委	成交
鸡	电风扇	档案	成品
鸡蛋	电视台	倒霉	成人
…极了…	电台	倒腾	成套
集合	电梯	岛屿	成效
急	电影院	导弹	成心
挤	店	导师	呈
几	吊	导演	呈现
技术	钓	导致	乘机
寄	调	到…为止	乘务员
计划	调查	得病	惩
记	跌	得了	惩办
继续	顶	得意	惩罚
家	顶	灯火	澄清
家庭	定	灯笼	诚心诚意
加	订	蹬	诚意
坚持	东北	等到	诚挚
间	东部	等候	承办
检查	东方	瞪	承受
简单	东面	凳子	秤
见	东南	堤	持续
见面	懂得	滴	池塘
件	动人	抵	迟缓
健康	动身	抵抗	迟疑
建设	动手	底	齿轮
将来	动物园	底片	赤字
江	动员	地板	充当
讲	动作	地步	充沛
交	冻	地道	冲锋
教	洞	地理	冲破
脚	斗争	地势	重
角	豆腐	地毯	重申
饺子	逗	地形	崇拜
教室	独立	地震	崇敬
教育	读书	地质	抽空
叫	读者	地主	抽屉
叫	堵	弟兄	踌躇
接	肚子	典礼	稠密
接着	度	典型	筹备
街	度过	电池	筹建
节	渡	电力	绸子
节目	端	电铃	丑恶
节日	短期	电流	出差
结果	断	电炉	出产
结束	堆	电脑	出动
解决	队	电器	出发点
姐姐	队伍	电线	出访
借	队长	电压	出境
介绍	对	电子	出面
斤	对比	惦记	出名
今年	对待	垫	出品
今天	对方	奠定	出入
紧	对付	雕刻	出色
紧张	对话	调动	出神
进	对面	爹	出世
进来	对象	叠	出售
进去	对于	丁	厨师
进行	吨	盯	锄
近	蹲	钉	除此之外
精彩	多数	钉子	除外
精神	夺	顶	除夕
经常	躲	顶	储备
经过	朵	定期	储藏
经济	鹅	订婚/定婚	储存
经验	而	冬季	储蓄
久	儿童	懂事	处罚
九	耳朵	动机	处方
酒	发表	动静	处境
旧	发出	动力	处决
就	发达	动摇	处置
橘子	发动	抖	触
举	发抖	陡	触犯
句	发挥	斗	川流不息
句子	发明	豆浆	传单
觉得	发言	豆子	传递
决定	发扬	毒	传授
咖啡	法郎	毒	传送
卡车	法律	独特	传真
开	繁荣	独自	船舶
开始	凡	读物	船只
开玩笑	反动	端	疮
开学	反复	端正	床铺
看	反抗	堆	床位
看病	反应	堆积	创办
看见	反映	兑换	创建
考试	反正	队员	创业
棵	范围	对得起	炊事员
科学	犯	对…来说	吹牛
咳嗽	方	对了	吹捧
可能	方案	对立	捶
可是	方式	对门	锤
可以	方针	顿时	春耕
渴	房子	哆嗦	纯粹
克	防	多半	蠢
刻	防止	多亏	磁铁
客气	仿佛	多劳多得	雌
课	纺织	多余	辞
课本	放大	夺取	辞职
课文	放弃	俄语/俄文	慈爱
空气	放心	恶心	慈祥
口	非…不可	恶	词句
口语	肥	恶化	此后
哭	肺	恶劣	此时
苦	费	儿女	次品
块	费	发电	次数
快	费用	发觉	次序
困难	吩咐	发射	刺
拉	分别	发行	葱
啦	分配	发育	匆匆
来	分析	罚	从…看来
蓝	纷纷	法令	从容不迫
篮球	粉笔	法院	从头
劳动	奋斗	法制	从未
劳驾	份	法子	从小
老	愤怒	番	从中
老师	封建	翻身	凑合
了	风景	繁殖	凑巧
累	风力	凡是	粗暴
冷	风俗	烦	粗粮
离	逢	反	粗鲁
离开	否定	反	粗细
里	否则	反而	促
里	扶	反击	摧残
里边	幅	反问	翠绿
礼物	符合	返	脆
历史	服从	犯人	脆弱
利用	浮	犯罪	存放
例如	副	饭馆	存款
立刻	副	泛滥	磋商
俩	副食	方	搭配
联系	复述	房屋	答辩
连…都/也…	复印	防守	打发
脸	付	防御	打猎
练习	富	防治	大包大揽
凉快	妇女	妨碍	大臣
两	该	纺	大多
辆	改革	放手	大公无私
亮	改进	放松	大锅饭
了	改善	放学	大局
了解	改造	放映	大理石
零	改正	非	大拇指
领导	概括	非	大炮
留	概念	飞快	大气压
留念	盖	飞行	大肆
留学生	干	飞跃	大体
流	干杯	肥料	大同小异
六	干脆	肥皂	大无畏
楼	干燥	废	大厦
路	杆	废除	大雁
录音	肝	废话	大有可为
旅行	赶	废墟	大于
绿	赶紧	沸腾	歹徒
乱	赶快	费力	带劲
妈妈	感动	分布	代号
麻烦	感激	分割	代数
马	感觉	分工	贷
马上	感情	分解	贷款
嘛	感想	分离	待业
吗	感兴趣	分裂	怠工
买	干活儿	分泌	怠慢
卖	干吗	分明	担保
满	刚刚	分散	担忧
满意	钢	分数	丹
慢	港	分子	单元
忙	高大	坟	胆量
毛	高度	粉	胆怯
帽子	高原	粉碎	胆子
没	告	分量	氮
没关系	告别	分子	担
没意思	搁	粪	担子
没有	胳膊/胳臂	丰产	淡季
每	割	丰收	淡水
妹妹	革命	封	诞辰
门	隔	封锁	弹
门口	隔壁	风格	弹药
们	个别	风气	当场
米/公尺	个人	疯	当局
米饭	个体	疯狂	当事人
面包	个子	缝	当心
面条儿	根本	讽刺	当选
民族	根据	佛教	党性
明年	跟前	夫妻	党章
明天	更加	服	党中央
名字	工程	俯	当天
母亲	工程师	腐蚀	档次
目前	工夫	腐朽	荡
拿	工会	复活节	刀刃
哪	工具	复制	叨唠
哪里	工艺品	负	捣
那	工资	负担	捣蛋
那	功夫	富有	捣乱
那个	供	富裕	倒闭
那里/那儿	供给	妇人	倒爷
那么	公费	改编	导航
那么	公共	改良	导体
那些	公开	盖子	导游
那样	公路	干旱	到来
哪	公司	干扰	到期
呐	公用电话	干涉	倒退
南	公元	甘	稻子
南边	巩固	赶忙	悼念
男	贡献	赶上	盗
难	共	感受	盗窃
呢	共产党	敢于	得不偿失
内	共同	干劲	得力
内容	狗	缸	得以
能	构成	纲领	得罪
能够	构造	岗位	灯泡
嗯	估计	港币	登陆
你	姑姑	港口	等级
你们	鼓	高潮	低级
年	鼓励	高等	低劣
年级	鼓舞	高峰	低温
年纪	鼓掌	高级	低下
年轻	古	高粱	敌
念	古代	高尚	敌对
您	古迹	高速	敌视
牛	古老	高压	笛子
牛奶	骨头	高中	的确良
农村	故乡	稿	抵达
农民	故意	告辞	抵制
农业	顾	歌唱	地铁
努力	顾客	歌剧	帝国
女	挂号	歌曲	帝国主义
女儿	拐	歌颂	递交
暖和	怪	鸽子	递增
爬	关键	革新	缔结
怕	关于	格外	掂
拍	关照	隔阂	颠倒
排球	官	个儿	颠覆
派	观察	个体户	颠簸
旁边	观点	个性	点火
跑	观众	各式各样	点名
跑步	管	各自	点燃
朋友	管理	给以	点缀
碰	冠军	根源	点子
批评	罐头	耕地	电动机
啤酒	贯彻	工地	电路
篇	光	工龄	电钮
便宜	光	工钱	电气
片	光	工序	电源
漂亮	光辉	攻	店员
票	光明	攻击	淀粉
苹果	光荣	攻克	殿
瓶	光线	功课	刁
破	广场	功劳	叼
七	广大	功能	雕塑
骑	广泛	供应	调度
起	广告	公	调换
起床	广阔	公安	碟子
起来	逛	公布	叮嘱
汽车	规定	公民	顶点
汽水	规律	公顷	顶端
铅笔	规模	公式	定点
千	鬼	公用	定额
钱	跪	宫	定价
前	滚	宫殿	定居
前边	锅	弓	定理
浅	国际	共和国	定量
墙	国民党	共青团	定律
桥	国王	钩	定向
青年	果然	钩子	定性
轻	过程	勾结	定义
清楚	过年	沟	订购/定购
晴	海关	购	订货/定货
情况	海洋	购买	订阅/定阅
请	害	辜负	钉
请假	害处	孤立	丢人
请问	害怕	鼓动	丢失
秋	含	古典	东奔西走
秋天	寒冷	骨干	东道主
球	汗	谷子	冬瓜
取得	行	股	董事
去	航空	雇	动荡
去年	毫不	顾问	动工
全	毫无	固定	动乱
全部	好好儿	固然	动脉
全体	好久	固体	动态
确实	好容易	瓜	动用
然后	好听	瓜子	冻结
让	好玩儿	寡妇	栋
热	好些	乖	兜
热情	号码	拐弯儿	兜儿
人	号召	怪	斗志
人们	好	怪	都市
人民	和平	怪不得	督促
任何	合	关	毒害
认识	合理	关怀	毒品
认为	合同	关头	毒性
认真	合作	官僚主义	独
日	盒	观测	独裁
日语/日文	嘿	观看	独立自主
日子	黑暗	观念	堵塞
容易	恨	管道	赌
肉	哼	管子	赌博
三	红茶	罐	杜绝
散步	红旗	惯	镀
山	猴子	灌	渡船
商店	厚	灌溉	渡口
上	后悔	光	短处
上	后来	光彩	短促
上边	后面	光滑	短暂
上课	后年	光临	缎子
上来	后天	广	断定
上去	呼	规划	断断续续
上午	呼吸	规矩	断绝
上学	壶	规则	兑现
少	胡乱	归	对岸
社会	胡子	轨道	对策
身体	糊涂	柜台	对称
深	护士	柜子	对抗
什么	护照	贵宾	对联
声	户	棍子	对手
声调	花园	锅炉	对头
声音	划	国防	对应
生产	滑	国籍	对照
生词	滑冰	国旗	夺得
生活	画报	国庆节	躲避
生日	划	国务院	躲藏
省	化	国营	跺
剩	坏处	果实	舵
胜利	欢送	果树	堕落
师傅	环	裹	蛾子
十	环境	过	额
十分	慌	过渡	额外
时候	黄瓜	过分	讹
时间	黄油	咳	恶毒
食堂	皇帝	海拔	恶性
实践	灰	海军	恩
实现	挥	海面	恩爱
使用	恢复	海峡	恩情
世界	回头	害虫	恩人
事	回信	含糊	而后
事情	回忆	含量	而已
是	会场	喊叫	二氧化碳
市	会见	旱	贰
试	会客	焊	发病
收	会谈	行	发布
收拾	会议	行列	发财
手	昏迷	行业	发愁
手表	婚姻	航行	发奋图强
首都	混	毫米	发火
输	活泼	好	发脾气
舒服	活跃	好比	发票
书	伙食	耗	发起
熟	火	好奇	发热
数	火柴	呵	发誓
树	获得	核	发炎
数学	或	何必	发扬光大
双	货	何况	伐
谁	几乎	合唱	罚款
水	机床	合成	法
水果	机关	合法	法定
水平	机械	合格	法官
睡	积极	合金	法规
睡觉	积极性	合算	法人
说	积累	河流	法庭
说明	激动	黑夜	法西斯
思想	激烈	痕迹	法则
死	极	狠	帆
四	极其	恨不得	帆船
送	集	横	番茄
宿舍	集体	宏伟	繁
酸	集中	洪水	繁多
算	及	喉咙	繁华
虽然	及格	吼	繁忙
岁	及时	后代	繁体字
所以	急忙	后方	繁重
所有	即	后果	烦闷
他	级	后头	烦恼
他们	技术员	后退	烦躁
它	季节	呼呼	反驳
它们	计算	忽视	反常
她	记得	胡说	反倒
她们	记录	胡同	反感
抬	记忆	蝴蝶	反革命
太	记者	护	反攻
太阳	既	互助	反馈
态度	既…也…	花朵	反面
谈	既…又…	花生	反射
汤	既然	哗哗	反思
糖	纪律	华侨	反之
躺	纪念	华人	返回
讨论	夹	滑雪	贩卖
特别	家具	画家	范畴
疼	家乡	画蛇添足	犯法
踢	加工	化工	犯浑
提	加强	化合	饭碗
提高	加以	化石	泛
体育	假	化验	方程
天	价格	话剧	房东
天气	价值	怀	房租
条	架	怀念	防护
条件	假条	怀疑	防线
跳	坚定	坏蛋	防汛
跳舞	坚决	欢呼	防疫
听	坚强	欢乐	放射
听见	尖	欢喜	非…才
听说	尖锐	缓和	非法
听写	肩	缓缓	飞船
停	艰巨	缓慢	飞舞
挺	艰苦	患	飞翔
通	拣	幻灯	肥沃
通过	捡	幻想	匪徒
通知	剪	唤	诽谤
同时	减	荒	废品
同学	减轻	慌忙	废气
同意	减少	黄昏	废物
同志	箭	黄色	分辩
痛快	渐渐	晃	分辨
头	建	灰	分寸
突然	建立	灰尘	分队
图书馆	建议	灰心	分红
团结	建筑	辉煌	分化
推	将	回想	分类
腿	将	毁	分母
退	将要	汇	分批
脱	奖	汇报	分期
袜子	奖学金	汇款	分歧
外	讲话	昏	分清
外边	讲座	浑身	芬芳
外国	酱油	混合	坟墓
外语/外文	降	混乱	粉末
完	降低	混凝土	分外
完成	交换	混淆	奋勇
完全	交际	活	奋战
玩	交流	活该	愤恨
碗	交通	伙	丰满
晚	郊区	伙伴	封闭
晚饭	骄傲	火箭	蜂
晚会	角	火力	蜂蜜
晚上	教材	火焰	锋利
万	教师	火药	风暴
往	教授	获	风度
往	教学	或多或少	风光
忘	教训	货币	风浪
危险	教员	货物	风趣
为	较	基层	风沙
伟大	叫做	基地	风尚
喂	接触	机	风味
位	接待	机动	风险
为	接到	机构	风筝
为了	接见	肌肉	疯子
为什么	接近	饥饿	缝
文化	接受	激素	奉献
文学	街道	极端	奉行
文学家	阶段	集团	凤凰
文艺	阶级	急躁	否
文章	结实	疾病	否决
问	节省	即将	否认
问好	节约	即使	夫妇
问题	结构	级别	敷衍
我	结合	给予	伏
我们	结婚	技能	辐射
握手	结论	技巧	幅度
屋子	解	季	符号
五	解答	寂寞	俘虏
午饭	解放	计	服气
物理	解释	计算机	服装
西	届	记载	浮雕
西边	金	继承	浮动
希望	金属	夹子	福
习惯	今后	佳	福利
喜欢	仅	家伙	福气
洗	仅仅	家属	抚养
洗澡	尽	加紧	抚育
系	尽管	加入	辅助
细	尽量	加速	斧子
下	进步	加油	腐败
下	进攻	甲	腐化
下	进化	假如	腐烂
下边	进口	假若	赴
下课	进入	假使	副业
下来	进修	价	副作用
下去	进一步	价钱	覆盖
下午	禁止	架	赋予
夏	近来	架子	复
夏天	尽	驾驶	复辟
先	劲	假	复合
先生	京剧/京戏	假期	复活
现代	精力	嫁	复兴
现在	经	歼灭	付出
相信	经理	监督	付款
香	经历	监视	腹
香蕉	井	监狱	负伤
想	警察	坚固	富强
响	静	坚硬	富余
像	敬爱	尖子	附带
向	敬礼	煎	附和
消息	镜子	兼	附加
小	竞赛	艰难	附属
小孩儿	究竟	检讨	改建
小姐	纠正	检验	改邪归正
小时	救	碱	改组
笑	就	简便	概况
些	就是	简直	钙
鞋	局长	鉴定	干预
写	举行	贱	甘心
谢谢	拒绝	见解	甘蔗
辛苦	据说	健全	竿
新	巨大	渐	肝炎
新年	具备	溅	秆
新闻	具体	建造	感
心	具有	僵	感化
信	距离	将军	感慨
信封	距离	奖金	感染
星期	俱乐部	奖励	干线
星期日/星期天	剧场	讲究	钢材
行	卷	讲课	钢琴
幸福	觉悟	讲义	纲
姓	决	酱	纲要
休息	决心	焦急	杠杆
需要	绝对	胶卷	高产
许多	军	交代	高超
学	军队	交谈	高档
学生	军事	交易	高低
学习	开放	浇	高贵
学校	开会	搅	高考
学院	开课	脚步	高空
雪	开明	狡猾	高明
呀	开辟	角度	高烧
呀	开演	角落	高温
研究	开展	教导	高血压
颜色	砍	教练	高涨
眼睛	看不起	教堂	搞鬼
演出	看法	教研室	搞活
宴会	看来	觉	稿件
羊	看样子	揭	稿纸
样子	扛	揭露	稿子
要求	考	接连	告诫
药	考虑	阶层	告状
要	烤	结	歌手
要是	靠	截	歌星
也	颗	节	歌咏
也许	科	竭力	疙瘩
页	科学家	洁白	格
夜	科学院	结	格格不入
一	科研	结果	格局
一般	科长	解放军	格式
一边…一边…	可	解剖	隔绝
一点儿	可爱	界线	隔离
一定	可靠	借口	各奔前程
一共	可怜	金鱼	各别
一会儿	可怕	今日	各行各业
一…就…	可以	紧急	各界
一块儿	克服	紧密	根据地
一起	刻	紧俏	根深蒂固
一切	刻苦	谨慎	跟随
一下	客人	进军	跟头
一些	课程	近代	跟踪
一样	肯	浸	耕
一直	肯定	尽力	耕种
医生	空	惊	更改
医院	空间	惊动	更换
衣服	空前	惊奇	更新
椅子	空中	惊人	更正
已经	孔	惊讶	梗
以后	恐怕	惊异	工
以前	空儿	精	工具书
以为	控制	精神	工人阶级
艺术	口袋	精细	工事
亿	口号	精致	攻读
意见	扣	鲸鱼	攻关
意思	裤子	经费	功
意义	跨	经营	功绩
因为	筷子	警告	功效
音乐	快乐	警惕	恭敬
阴	宽	景色	供不应求
银行	款	景物	供销
英语/英文	矿	景象	公报
应该	捆	境	公尺
赢	困	敬酒	公道
影响	扩大	竟	公分
永远	垃圾	竟然	公告
用	来	竞争	公关
尤其	来	净	公平
邮局	来不及	净	公然
邮票	来得及	揪	公认
游泳	来信	酒店	公社
有	来自	舅舅	公务
有的	拦	舅母	公有
有名	懒	就	公有制
有时候	烂	就是说	公约
有些	狼	就是…也…	公债
有意思	朗读	居民	公证
友好	浪	居然	汞
友谊	浪费	居住	拱
右	捞	局	共产主义
又	老(是)	局部	共计
鱼	老百姓	局面	共鸣
愉快	老板	举办	共性
雨	老大妈/大妈	聚	勾
语法	老大娘/大娘	聚集	沟通
语言	老大爷/大爷	聚精会神	构思
遇到	老虎	据	构想
预习	老人	距	购买力
元	老实	剧	孤单
原来	老太太	剧烈	孤独
原谅	老头儿	剧院	姑且
圆	乐观	卷	鼓
远	雷	觉	鼓吹
愿意	类	决口	古怪
月	厘米	决议	古人
月亮	梨	绝	古文
月球	离婚	均	骨
云	理发	均匀	骨肉
运动	理解	军备	股东
再	理论	军官	股份
再见	理想	军舰	股票
在	理由	军人	雇佣
在	里面	开办	雇员
咱	礼拜天/礼拜日	开除	故
咱们	礼貌	开动	故障
脏	礼堂	开发	顾不得
早	利害/厉害	开饭	顾虑
早晨/早上	利益	开口	顾全大局
早饭	例	开幕	固有
怎么	例子	开设	固执
怎么样	立	开水	瓜分
怎样	立场	开夜车	挂钩
增加	立方	刊物	挂念
展览	立即	看	棺材
占	粒	抗议	关闭
站	力	考察	关节炎
站	力量	考验	关切
张	力气	靠近	官方
长	力所能及	科技	官僚
掌握	联合	科普	官员
着急	联欢	壳	观
找	连	可不是	观光
照顾	连忙	可见	观赏
照相	连续	可巧	管辖
这	恋爱	可惜	惯例
这个	练	可笑	惯用语
这里/这儿	粮食	可行	灌木
这么	凉	渴望	光棍儿
这些	量	客	光亮
这样	良好	客观	光芒
着	两	客厅	规范
真	聊	课堂	规格
真正	聊天儿	坑	规章
整齐	了不起	空军	硅
正	列	恐怖	龟
正确	临	空	归根到底
正在	临时	口气	归还
政府	邻居	口试	归结
政治	零钱	口头	归纳
只	铃	枯	闺女
支	灵活	窟窿	鬼子
知道	领	夸	桂冠
知识	领袖	垮	贵重
…之间…	另	快餐	贵族
指	另外	快活	滚动
只	流利	宽阔	国产
只好	龙	款待	国法
纸	楼梯	筐	国会
中	漏	狂	国际法
中间	露	狂风	国际主义
中文	路上	矿石	国库券
中午	路线	况且	国力
中学	录	昆虫	国民
钟	录像	阔	国情
钟头	录音机	喇叭	国土
种	陆续	蜡烛	国有
重	旅馆	辣	果断
重要	旅客	辣椒	过度
周	旅途	来宾	过后
周围	略	来回	过滤
猪	轮船	来客	过失
主要	论文	来往	过问
主意	萝卜	来源	过于
住	落	篮子	海岸
注意	落后	朗诵	海滨
祝	码头	牢	海港
装	马虎	牢固	海外
准备	马克	牢骚	害羞
桌子	马路	老年	含义/涵义
自己	骂	老婆	含有
自行车	埋	老人家	寒
字	买卖	老乡	寒暄
总(是)	迈	姥姥	函授
走	馒头	乐	罕见
足球	满足	类似	捍卫
祖国	猫	类型	旱灾
组织	毛	冷静	汉奸
嘴	毛病	冷却	汉学
最	毛巾	冷饮	航班
最初	毛衣	愣	航道
最后	矛盾	黎明	航海
最近	冒	理	航天
