huayu1_Word	huayu2_Word	huayu3_Word	huayu4_Word	huayu5_Word	huayu6_Word	huayu7_Word
可以	起床	下雨	安全	博士	笔记	编织
上课	方便	下雪	安全	播	笔试	编制
知道	睡觉	新年	成功	不必	笔试	编制
电视(机)	先	运动	报告	不断	闭	边界
水	常常	游泳	报告	不断	必须	边缘
再	每	踢	打算	不过	必要	贬
书	次	足球	机会	不过	编	贬值
电影	音乐	篮球	当	不见(了)	扁	匾额
以前	票	网球	如果	不论	便	便
以后	照片	棒球	计划	不幸	便利	辨认
走	打	比赛	计划	不用说	变动	辨识
等	玩	比赛	努力	不得不	变动	辩
看	跑	骑	管理	不得了	标题	辩护
什么	运动	脚踏车/自行车	学院	不管	标志	辩论
朋友	开始	跑步	小学生	不满	表格	变革
东西	走路	电影院	大学生	不如	表情	变迁
吧	唱歌	表演	同学	不少	表扬	变通
呢	信	上网	校长	不少	冰	变形
吗	喂	输	放假	不足	丙	标签
找	介绍	赢	毕业	部	并	标语
做	换	有时候	开学	部分/份	并	表白
再见	认识	久	成绩	部分/份	并且	表明
怎么样	没关系	报纸	学期	部门	病毒	鼻孔
叫	怎么	不客气	学费	布	病房	鼻涕
谢谢	哪	礼物	暑假	布/布置	拨	笔录
对不起	哪里/哪儿	欢迎	寒假	擦	菠菜	笔友
请问	这里/这儿	晚会	服务	猜	波动	比率
这	那里/那儿	信封	宿舍	材料	玻璃	比拟
那	上(面)	寄	操场	采用	薄	比喻
公共汽车/公交车	下(面)	接	校园	餐	薄弱	比重
车(子)	外(面)	邮局	中文	餐桌	伯父	必备
到	前(面)	银行	文化	参考	伯母	必定
去	后(面)	警察	语法	草地	不大	必然
回	右边	坏	汉语	草原	不当	闭幕
坐	左边	帮忙	书法	层	不到	闭塞
开车	旁边	出租车	班	曾	不顾	避难
钱	中间	车站	班	曾经	不过	避孕
多少	地铁	火车	书桌	差别	不见得	毕生
给	地方	飞机	课	差异	捕	币值
贵	附近	飞机场/机场	字典	查	补	憋
便宜	离	马路	汉字	差(一)点/差(一)点儿	补偿	别
大	往	十字路口	铅笔	产品	补充	别墅
小	送	对面	尺	产生	补课	兵
难	带	里面	毛笔	常	补习	宾馆
容易	放	旅行	教	尝/尝试	补助	柄
有	拿	饭店	讲	场	补助	并列
想	过	旅馆	讲话	超过	步	并重
几	进来	参观	告诉	超级	不安	并发
块	出去	地图	念	炒	不成	病床
饭	站	照相机	练习	吵	不得已	病菌
吃	快	照相	讨论	吵架	不敢当	病情
请	慢	风景	认为	车祸	不仅	拨
也	近	头	解释	趁	不良	波
不	远	头发	同意	成	不平	波及
没	手	耳朵	了解	成果	不然	波浪
都	身体	手指(头)	清楚	成就	不如	剥
只	眼睛	肚子	无聊	成熟	不许	剥削
可是	药	健康	决定	成长	不宜	搏斗
还是	累	感冒	遍	程度	不由得	播出
了	双	生病	交	承认	不止	不便
得	元	受伤	借	诚实	部队	不动产
过	鞋子	饿	算	吃喝玩乐	部长	不力
	裤子	渴	对	尺	布/布告	不料
	市场	舒服	错	充实	布/布告栏	不下
	衣服	眼镜	办法	重新	财产	不肖
	比	痛	方法	虫(子)	财富	不懈
	要	希望	有用	抽	才能	不再
	长	商店	进步	丑	裁判	不致
	新	店	忘	臭	裁员	不至/致于
	一样	重要	记	初	踩	补给
	好吃	给	公寓	出版	采	补救
	件	公斤	大楼	出差	采购	补习班
	杯	颜色	卧室	出门	彩色	哺乳动物
	瓶	黄色	花园	出租	参与	不得
	菜	白色	门口	除了	蚕	不等
	苹果	袜子	浴室	除夕	惭愧	不凡
	肉	裙子	楼梯	厨师	惨	不妨
	酒	短	墙	处理	仓库	不法
	喝	小心	洗衣机	传统	藏	不公
	少	牛奶	冰箱	串	操心	不禁
	多	蛋	灯	创造	操作	不及
	一起	饺子	打开	吹	册	不堪
	因为	面	盒子	春节	策略	不免
	和	汤	邻居	词	测量	不容
	所以	包子	热闹	此	测试	不时
	跟	蛋糕	吵	刺激	测验	不惜
	着	面包	满意	刺激	测验	不知不觉
	可能	水果	干净	从不	差	部落
		香蕉	房租	从来	差错	部署
		食物	租	从小	差距	步调
		饮料	开水	醋	插	步骤
		果汁	乡下	存	插花	猜测
		杯子	森林	存在	插图	猜忌
		多	地	寸	茶馆/茶馆儿	猜想
		甜	草	错	茶会	裁缝
		菜单	枝	错误	茶叶	裁减
		巧克力	只	挫折	拆	财团
		碗	动物	答应	产	财政
		盘子	牛	达成	产量	才智
		片	虎	打工	产业	采访
		一半/一半儿	羊	打架	尝/尝	采光
		过	猪	打听	尝/尝试	采纳
		一定	月亮	打仗	常识	采取
			星星	打折	长处	彩绘
			云	大大	长度	餐具
			地球	大多数	长方形	参谋
			世界	大方	长久	残暴
			环境	大概	长途	残酷
			火	大会	场	残杀
			晴天	大陆	场地	惨重
			暖和	大门	场合	灿烂
			凉快	大小	场所	苍白
			温暖	大约	厂商	苍蝇
			度	袋	抄	操纵
			温度	代表	钞票	草案
			雨	代表	超出	草丛
			雪	代替	超人	草率
			空气	带来	超越	草药
			间	带领	超重	测
			睡	单纯	朝	策画/划
			发生	单身	潮流	差额
			发现	担任	潮湿/湿	插曲
			发现	但	吵闹	插嘴
			照顾	淡	车票	茶具
			打扫	当	扯	察觉
			餐	当场	彻底	查明
			起来	当地	沉	蝉
			搬	当面	陈列	馋
			挂	当年	称	潺潺
			有空/有空儿	当天	撑	猖獗
			过年	当中	成	肠
			结束	当作	成	长远
			完	当做	成本	场次
			散步	倒	成分/份	场面
			爬	岛	成交	倡导
			跳	导演	成立	唱腔
			座位	到	成天	畅销
			博物馆	到	成为	产物
			节目	到处	成语	产值
			新闻	到底	乘	超速
			政治	到底	乘客	超脱
			体育	道德	诚恳	抄袭
			网站	道教	诚意	吵嘴
			还	道理	呈现	车辆
			经常	道歉	程序	车厢
			平常	倒	吃亏	撤回
			总是	倒是	迟	撤销
			已经	得	迟早	沉默
			各	得到	尺寸	沉思
			杂志	得意	翅膀	沉重
			文章	得很	冲	尘土
			故事	的话	充分/份	呈
			小说	得	充满	乘
			美术	灯光	充足	承包
			艺术	等	重	承担
			兴趣	等/等等	崇拜	承诺
			收	等待	崇高	成败
			谈	低	抽屉	成见
			聊天/聊天儿	敌人	愁	成就
			唱	底	出	成品
			歌	底下	出产	成全
			早	抵达	出境	成人
			迟到	地	出口	成效
			后来	地板	出色	成衣
			变	地带	出身	成员
			跳舞	地点	出事	成长
			乐器	地理	出售	称号
			吉他	地区	出席	称呼
			钢琴	地摊	出院	撑腰
			可怕	地位	初	程序
			活动	地下	初步	呈献
			就	地形	初步	诚心
			消息	点	初级	诚心诚意
			才	点	除	诚挚
			又	点	除	称
			客人	点/点儿	除	吃惊
			不好意思	电	除非	吃苦
			怎么了	电车	储存	吃力
			怎么办	电池	储蓄	持
			客气	电灯	处	持久
			舞会	店员	处罚	持平
			最近	调查	处	持续
			请客	订	处处	池(子)
			庆祝	丢	传	迟钝
			听说	东北	传播	充斥
			感谢	东方	传达	充裕
			见面	东南	传单	冲淡
			约	懂事	传染	冲天
			事	逗	传说	冲
			事情	豆腐	传说	冲动
			明信片	豆浆	传送	冲击
			卡片	都市	传统	冲突
			帮	毒品	传真	憧憬
			弄	独特	窗口	重迭
			检查	读者	床	崇尚
			通知	段	床单	宠爱
			通知	堆	幢	宠物
			叫	对	闯	抽查
			麻烦	对	创作	抽空
			偷	对	春季	抽象
			钱包	对方	春假	抽样
			拉	对话	纯	愁
			小偷	对了	磁带	仇
			满	对象	词典	仇恨
			丢	多多少少	词汇	稠密
			啊	多么	辞职	出超
			汽车	朵	此外	出错
			辆	顿	刺	出发点
			船/船儿	嗯	刺激	出局
			停车场	而	次数	出口
			搭	儿童	从	出力
			起飞	发	从此	出路
			出	发表	从没	出马
			出来	发财	从事	出卖
			进	发出	凑	出面
			进去	发达	粗	出名
			回去	发挥	粗心	出品
			路口	发觉	促进	出示
			红绿灯	发明	催	出手
			桥	发明	存款	出头
			左	发脾气	搓	出头
			右	发票	错过	出土
			里	法律	错字	出息
			下	翻	措施	出血
			上	翻译	答	初期
			这边	烦恼	答案	储备
			这些	反而	达到	除此之外
			那些	反应	打	锄头
			那边	犯	打扮	处
			旅游	范围	打包	处方
			动物园	方面	打断	处分
			出发	方式	打扰	处分
			离开	房东	打算	处境
			向	房客	打招呼	处事
			南	房屋	打针	处于
			南部	访问	打字	处女
			南边	放心	大半	穿梭
			西	非	大便	传
			西部	非	大胆	传递
			西边	飞	大地	传奇
			北	费用	大都	传奇
			北部	分开	大哥	传神
			北边	份	大哥大	传授
			东	封	大街	船只
			东部	丰富	大力	喘
			东边	风格	大量	串
			经过	风俗	大脑	创伤
			转	佛教	大清早	创
			掉	否则	大嫂	创办
			一直	夫妇	大腿	创立
			过去	符合	大型	创新
			最后	福利	大意	创业
			动	服装	大有	创作
			躺	腐败	大致	吹牛
			起	付出	大众	垂
			停	负担	大自然	垂直
			中心	负担	待会/待会儿	辞
			外国	负责	待	辞典
			护照	复习	代	辞行
			行李	该	代	慈善
			出口	改	代表	此刻
			油	改变	代沟	次
			钥匙	改变	代价	次要
			袋子	改进	代理	伺候
			公里	改善	带动	刺杀
			方向	改天	带路	匆忙
			出现	盖	带子	从容
			交通	概念	大夫	从而
			脸	敢	贷款	凑巧
			腿	赶	贷款	粗糙
			脚	赶快	待遇	粗鲁
			心	赶上	单	促
			鼻(子)	感动	单调	促成
			背	感想	单位	促使
			嘴巴	感兴趣	单子	促销
			脖子	刚	担保	簇拥
			健康	高速	耽误	摧残
			感觉	高中	胆量	摧毁
			感觉	搞	胆小	催眠
			救护车	歌曲	蛋白质	脆弱
			咳嗽	歌星	诞生	存货
			发烧	隔壁	当初	磋商
			疼	革命	当时	撮合
			保险	个人	当选	搭配
			病	个子	当中	达
			看病	各式各样	挡	答复
			病人	各位	档案	打
			挂号	个	当	打斗
			牙刷	给	倒霉	打赌
			剪	跟	导演	打发
			药房	跟	导游	打击
			恢复	根	倒	打量
			救命	根	道	打猎
			影响	根据	道路	打牌
			影响	更加	到达	打手
			饱	公尺	得分	打烊
			吃饱	公分	得奖	大道
			简单	公共	得了	大队
			书店	公克	得罪	大使
			超级市场/超市	公路	登	大选
			戴	功夫	登记	大洋洲
			试	功能	登山	大意
			轻	工具	等不及	大致
			重	工业	等到	呆
			流行	工作	等级	待
			蓝色	恭喜	等于	歹徒
			绿色	共	凳子	逮捕
			红色	共同	滴	代课
			黑色	贡献	低潮	怠慢
			手表/表	贡献	的确	担
			付	沟通	抵	担当
			衬衫	够	抵抗	担负
			毛衣	够	递	单独
			大衣	购买	地面	单价
			牛仔裤	姑娘	地毯	单据
			雨衣	古	地下	单亲
			内衣	古代	地震	单行道
			帽子	古迹	典礼	胆
			皮包	古老	典型	胆固醇
			外套	顾	点燃	但
			干	故意	点头	淡季
			旧	刮	垫	淡水
			价格	乖	电报	刀
			价钱	怪	电动	导师
			排队	怪	电扇	导致
			信用卡	关	电视台	岛屿
			毛	观察	电台	道
			比较	观点	电线	道别
			样子	观念	电子	地道
			特别	观众	雕刻	道士
			一般	管	雕刻	道义
			圆	罐	吊	到期
			光	广播	钓	到头来
			看见	广播	跌	倒数
			其他	广场	跌倒	当
			声音	广告	丁	当兵
			大声	逛	盯	当代
			好像	逛街	顶	当局
			像	规矩	订婚	当前
			奇怪	规模	订位	当心
			死	鬼	定期	党派
			脏	贵姓	定期	党员
			差不多	柜子	丢脸	得以
			一共	国内	丢人	登场
			需要	国外	冬季	登陆
			牛排	国王	懂得	灯火
			米	国语	洞	灯笼
			三明治	过	冻	等候
			西瓜	过去	栋	等价
			啤酒	过日子	动不动	瞪
			红茶	嗨	动词	滴
			点菜	还	动人	嘀咕
			包	还好	动身	底片
			酸	还是	动手	抵
			苦	还要	动作	抵押
			咸	海报	斗争	抵制
			辣	海滩	毒	地表
			点心	海洋	毒	地步
			冰淇淋	害	独立	地势
			饼干	害怕	独自	地域
			汉堡	行	赌	地狱
			青菜	航空	度	地质
			盐	好	度过	地主
			糖	好处	端	缔结
			煮	好好/好好儿	断	缔造
			碗	好几	锻炼	弟兄
			盘	好了	堆	颠覆
			条	好些	队	典型
			位	和	队员	典雅
			种	盒	对岸	点子
			口	合	对策	奠定
			够	合唱	对待	惦记
			任何	合作	对付	电工
			味道	黑	对抗	电力
			香	恨	对立	电流
			全部	恨不得	对于	电器
			所有	红	蹲	电视剧
			许多	红包	顿	电压
			新鲜	红豆	吨	凋零
			烤	厚	多半/多半儿	调
			尝	后	多多	调查
			装	后	多少	调度
			刀(子)	忽然	多数	吊桥
			叉(子)	胡涂	多谢	钓鱼
			汤匙	互相	夺	迭
			筷子	花	躲	顶
			没有	花心	鹅	顶
			别	滑雪	恶劣	定额
			不用	画家	而已	定义
			不但	话说回来	发	钉
			只好	话题	发	订购
			正在	化妆品	发动	丢弃
			马上	坏处	发抖	冻结
			把	还	发起	洞穴
			被	环保	发射	动产
			让	黄	发行	动机
			或	回	发言	动静
			或是	回答	发扬	动力
			可能	回想	发音	动乱
			然后	会	发展	动脉
			但是	会场	罚	动态
			而且	会话	法子	动向
			虽然	会议	法院	动员
			原来	婚礼	发型	抖
			也许	婚姻	番	陡
			为了	混乱	翻	逗留
			必须	活	烦	斗志
			永远	活动	烦恼	督促
			边/边儿	或许	繁忙	独创
			那么	基本	繁荣	独到
			这么	基本	繁殖	独占/占
			本来	基础	反	读物
			要是	基督教	反	堵
				激动	反对	堵塞
				激烈	反复	赌博
				积极	反抗	赌场
				机器	反面	渡
				及	反问	度量衡
				急	反映	端正
				极	反应	短缺
				极了	反正	短暂
				挤	返回	断绝
				挤	犯错	堆积
				既	犯法	队伍
				记	犯人	兑现
				记录	犯罪	对比
				记录	方	对照
				记忆	方案	对峙
				季节	防	顿
				纪念	防守	顿
				纪念	防止	顿时
				技巧	放大	多寡
				继续	放弃	多亏
				加	放手	多媒体
				加强	放学	多元
				加入	非法	夺魁
				加上	肥	躲避
				加油	肥胖	堕胎
				家	肥皂	额外
				家乡	肺	恶
				家长	费	恶化
				假	废话	恶性
				假如	废气	恶意
				假装	废水	恩爱
				架	废物	恩情
				假日	分别	恩人
				价值	分别	恩怨
				肩膀	分别	而
				坚持	分布/布	而是
				坚强	分工	而言
				减	分明	儿女
				减轻	分配	耳光
				减少	分散	发
				简直	分手	发电
				见	分数	发疯
				建立	分析	发掘
				建设	分析	发誓
				建设	纷纷	发炎
				建议	吩咐	发音
				建议	粉笔	发育
				将来	份/份儿	发展
				讲价	奋斗	发作
				讲究	愤怒	法定
				奖学金	封	法官
				降低	封建	法令
				酱油	蜂蜜	法人
				交	风气	法则
				交流	风趣	法制
				交友	风险	法治
				骄傲	疯	翻脸
				郊区	疯狂	翻身
				角度	疯子	翻新
				角/角色	逢	繁多
				叫	缝	繁体
				叫	讽刺	藩篱
				较	否定	凡/凡是
				教	否认	返
				教材	夫妻	反击
				教导	夫人	反射
				教法	幅	反省
				教练	扶	反之
				教授	服	犯规
				教训	服	贩毒
				教育	浮	贩卖
				教育	符号	方位
				接触	付	方向盘
				接受	赴	方针
				接着	副	方正
				结	辅导	妨碍
				结果	富	防备
				结局	富裕	防范
				节	附加	防水
				节日	妇女	防卫
				解决	复杂	防御
				解释	复制	防治
				姊妹	该	仿冒
				斤	改革	仿造
				金(子)	改造	纺织
				紧	改正	放荡
				仅	盖(子)	放宽
				尽管	肝	放款
				尽	干杯	放任
				进	干脆	放松
				进行	赶	放映
				进一步	赶紧	放逐
				经	感到	非凡
				经费	感恩	非洲
				经过	感激	飞弹
				经过	感情	飞快
				经验	感染	飞翔
				精神	感受	飞行
				惊讶	感受	肥料
				酒吧	干	废
				救	干部	废除
				舅舅	干嘛	废弃
				舅妈	干嘛	废墟
				就	干什么	废止
				就是	钢	费力
				就算	钢笔	沸腾
				就要	刚好	肺炎
				居住	港币	分贝
				橘子	港口	分辨
				举	高潮	分寸
				举办	高大	分担
				举手	高度	分发
				举行	高度	分割
				句	高峰	分化
				聚	高贵	分级
				剧本	高级	分家
				剧情	高明	分解
				拒绝	高手	分离
				距离	高原	分裂
				具有	告	分泌
				绝对	告辞	分明
				军队	割	分享
				军人	搁	分子
				卡车	歌剧	坟墓
				开放	隔	粉红
				开花	革命	粉刷
				开朗	各	分量
				开始	各行各业	粪
				开玩笑	个别	封
				看不起	个性	封闭
				看法	个子/个儿	封锁
				看起来	根本	封条
				考	根本	风暴
				棵	根据	风潮
				刻	供	风光
				科	工程	风光
				科技	工夫	风化
				科学	工会	风力
				可	工钱	风尚
				可	工资	风水
				可靠	公布/布	风行
				可乐	公公	锋面
				可恶	公开	丰盛
				可惜	公立	丰收
				可以	公平	缝
				渴望	公式	奉献
				克	公用	奉养
				克服	公元	佛经
				课程	供应	佛像
				课堂	共	否决
				课文	共同	肤浅
				客满	构成	敷衍
				刻	构造	俘虏
				肯	孤单	俘虏
				肯定	估计	浮动
				空	姑姑	服从
				空间	姑丈	服饰
				空军	古典	服务
				恐怕	鼓	服刑
				空	鼓励	幅度
				口	鼓励	福气
				口袋	鼓舞	辐射
				口味	鼓掌	斧头
				夸张	骨头	抚养
				快	固定	抚育
				快要	顾问	腐烂
				宽	故乡	腐蚀
				况且	瓜	腐朽
				困难	瓜子	付
				困难	挂号信	付款
				扩大	怪	负
				拉肚子	官方	负面
				啦	官员	副
				来	关	富
				来	关键	富贵
				来不及	关上	富有
				来得及	关于	妇人
				蓝	观光	附上
				浪漫	管道	复苏
				老公	管制	复原
				老虎	惯	赋予
				老婆	惯例	该死
				老实	冠军	改编
				老是	罐头	改观
				乐	罐子	改良
				乐观	光	改选
				乐趣	光	钙
				垃圾	光亮	概
				泪	光临	概括
				类	光明	概况
				冷淡	光荣	盖章
				离	光是	尴尬
				离婚	光线	干扰
				里	广	干涉
				里/里	广大	干燥
				里边	广泛	感触
				理解	广告	感性
				理论	广阔	赶忙
				理想	规定	纲领
				理想	规定	刚强
				里面	规画/划	钢铁
				礼堂	规画/划	岗位
				力	规律	高见
				力量	规则	高压
				厉害	跪	告别
				立刻	柜台/台	告状
				例如	贵族	胳膊(ㄅㄛ˙)
				例子	滚	歌唱
				利益	锅(子)	歌手
				利用	国会	歌颂
				连	国籍	疙瘩
				连	国际	鸽子
				连/联络	国立	隔
				连续剧	国旗	隔阂
				练	小学	隔天
				恋爱	国中	格局
				凉	裹	格式
				良好	果然	格外
				亮	过	革新
				聊	过程	各界
				了不起	过度	各自
				灵魂	过渡	个数
				零钱	过节	个体
				零用钱	过滤	给予
				领	过期	跟进
				领导	过世	跟前
				领域	还不如	根源
				令	还有	耕地
				流	海关	更动
				流汗	海军	弓
				流血	海外	工地
				留学	海峡	工读
				留学生	海鲜	工艺品
				龙	害处	公安
				录	含	公费
				录取	含	公会
				录音	含量	公民
				露营	寒冷	公认
				乱	喊	公事
				轮胎	汗	公文
				旅客	行业	公务
				绿	毫无	公务员
				律师	好	公益
				麻烦	好	公债
				马桶	好在	功劳
				码头	耗	功利
				蚂蚁	好客	攻
				骂	好奇	攻读
				嘛	号召	攻击
				满	合	供给
				满	合	宫殿
				满足	合不来	恭敬
				慢慢	合成	恭维
				慢跑	合得来	巩固
				慢用	合法	共产
				毛	合格	共和国
				毛病	合乎	共鸣
				贸易	合理	供养
				没	合适	勾结
				没	合算	沟
				没什么	和好	购
				没想到	和平	构想
				玫瑰(ㄍㄨㄟ˙)	和气	孤独
				每	何必	孤儿
				美好	何况	孤立
				门	河流	辜负
				梦	嘿	估价
				迷路	黑暗	古怪
				迷人	黑夜	古迹
				米饭	痕迹	古籍
				米粉	恨	古物
				秘/秘密	横	股
				密切	喉咙	股市
				免费	猴子	鼓吹
				面	后代	鼓动
				面	后方	故
				面积	后果	雇/雇
				面前	后悔	雇/雇用
				面条	后年	固然
				描写	后头	固体
				秒	后退	固有
				庙	后院	固执
				民国	呼	顾全
				民族	呼吸	蜗牛
				名	忽略	寡妇
				名词	忽视	拐
				明白	蝴蝶	怪不得
				明显	胡子	官
				明星	户	官司
				命	户外	棺材
				摸	互助	观
				摩托车/机车	花草	观测
				陌生	花费	观感
				某	花费	观光
				木	花盆	观看
				木头	花瓶	观摩
				目的	花色	观望
				目前	花生	关税
				拿手	划	关切
				哪里/哪儿	滑	关怀
				哪些	滑	关头
				那	华侨	关系
				那里	华人	关照
				那么	化	管教
				那样	化	管理
				那样	化学	管线
				哪	化妆	管子
				奶	化装	贯彻
				奶茶	怀念	惯
				耐心	怀孕	灌
				南方	坏蛋	灌溉
				难怪	欢呼	灌输
				难看	欢乐	光顾
				脑	欢喜	光滑
				脑子	缓和	光辉
				闹钟	缓慢	光芒
				内	幻想	规范
				内容	幻想	规格
				能	慌	规矩
				能够	皇帝	规则
				能力	黄豆	归
				年	黄昏	归
				年代	灰	归还
				年龄	灰色	归纳
				年年	灰心	轨道
				念书	挥	鬼怪
				农业	回	贵
				女士	回电	贵宾
				喔	回教/伊斯兰教	棍子
				哦	回收	国产
				噢	回头	国防
				拍	回信	国境
				排	回忆	国君
				牌子	汇款	国民
				盼望	会员	国营
				旁	昏倒	果断
				陪	昏迷	果实
				培养	混	果树
				配	混合	果真
				配合	活该	过关
				碰	活力	过量
				碰到	活泼	过敏
				碰上	活跃	过目
				批评	火柴	过人
				皮	火腿	过失
				皮带	火灾	过瘾
				皮肤	祸	过重
				皮鞋	或多或少	海拔
				篇	或者	海面
				骗子	货物	海啸
				品质	获得	海运
				坪	肌肉	害虫
				平	基本上	喊
				平安	基金	行号
				平等	几乎	行列
				平时	机构	航空信
				平原	机关	航行
				瓶子	机票	毫不
				破	机械	好比
				破坏	及格	好手
				葡萄	及时	好受
				普遍	即将	号
				欺负	即使	号子/证券行
				其次	极	合并
				其实	极其	合同
				其中	级	合意
				期	集	合约
				期间	集	何
				起	集合	何在
				起	集邮	和解
				起来	集中	和睦
				气	集中	和谐
				气	疾病	核定
				气温	急忙	核对
				汽水	寂寞	核算
				企业	既然	核准
				签名	技术	核子
				签证	计算	黑名单
				谦虚	计较	黑社会
				前	记性	狠
				前	记忆	狠心
				前年	记载	哼
				浅	记住	哼
				强盗	加班	横
				强调	加工	衡量
				抢	加上	轰动
				亲	加速	轰轰烈烈
				亲切	加以	红利
				亲手	家事	红烧
				亲眼	夹	洪水
				亲自	甲	宏伟
				清	嫁	哄
				青年	驾驶	后辈
				青少年	驾驶	后天
				轻松	价值	候选人
				晴	尖	呼吁
				情	尖锐	壶
				情人	肩	胡乱
				情况	兼	狐疑
				情形	间	户口
				请教	坚定	互补
				请求	坚决	互动
				穷	监视	互惠
				求	监狱	护
				球	拣	花瓣
				球场	捡	花朵
				球赛	剪刀	花卉
				球员	检验	花纹
				取代	建	花样
				去	建国	划不来
				去	建筑	划得来
				去世	建筑	华裔
				全	箭	化工
				全球	渐渐	化石
				全身	间接	话剧
				缺点	键盘	画面
				却	健全	画展
				确定	江	划时代
				确认	将	怀
				让	将要	怀疑
				热狗	奖金	欢送
				热水	奖品	幻象
				人家	降	换取
				人间	降价	患
				人口	浇	患者
				人类	交代	荒唐
				人们	交换	慌张
				人民	交际	惶恐
				人人	交往	恍惚
				人数	交易	灰
				人物	交易	灰尘
				忍	郊外	辉煌
				忍耐	角	回合
				认	角落	回绝
				认得	缴	回升
				任务	脚步	回忆
				扔	较	回/回响
				仍	叫喊	毁
				仍然	教会	毁损
				日出	教授	悔恨
				日记	教学	汇
				日子	教训	汇票
				如	接	会见
				如此	接待	会谈
				如下	接到	会意
				如意	接见	绘画
				弱	接近	贿赂
				伞	接近	彗星
				杀	街道	昏
				晒	街头	浑身
				山区	阶段	混
				伤害	节	混淆
				商品	节省	混浊
				商人	节约	活/活儿
				商业	结	活期
				上	结构	火箭
				上	结果	火力
				上当	结果	火焰
				上帝	结合	火药
				上街	结论	伙伴
				上衣	结算	获
				烧	结账	货币
				少	截止	货品
				蛇	解	豁达
				设备	解除	积
