Word	Meaning
安全带	2
安全岛	1
安全电压	1
安全理事会	1
安全门	1
安全套	1
安全剃刀	1
安全系数	2
安全线	3
安然	2
安然无恙	1
安如磐石	1
安如泰山	1
安设	1
安身	1
安身立命	1
安神	1
安生	2
安适	1
安睡	1
安泰	1
安恬	1
安帖	1
安土重迁	1
安妥	1
安危	1
安慰	2
安慰赛	1
安稳	3
安息	2
安息日	1
安闲	1
安详	1
安享	1
安歇	2
安心	1
安逸	1
安营	1
安营扎寨	1
安葬	1
安枕	1
安之若素	1
安置	1
安装	1
桉	1
氨	1
氨基	1
氨基酸	1
氨气	1
氨水	1
庵	3
庵堂	1
庵子	2
谙	1
谙达	1
谙练	2
谙熟	1
媕	1
鹌	1
腤	1
鞍	1
鞍韂	1
鞍鞯	1
鞍马	3
鞍马劳顿	1
鞍前马后	1
鞍子	1
鞌	1
盦	1
咹	1
俺	2
埯	3
唵	1
铵	1
铵根	1
揞	1
犴	1
岸	2
岸标	1
岸炮	1
岸然	1
按	2
按兵不动	1
按部就班	1
按键	1
按揭	1
按金	2
按扣儿	1
按理	1
按例	1
按脉	1
按摩	1
按捺	1
按钮	1
按期	1
按时	1
按说	1
按图索骥	1
按下葫芦浮起瓢	1
按压	3
按语	1
按照	1
胺	1
案	4
案板	1
案秤	1
案底	1
案牍	1
案发	1
案犯	1
案件	1
案卷	1
案例	1
案情	1
案头	2
案头工作	1
案由	1
案语	1
案值	1
案子	1
晻	1
暗	6
暗暗	1
暗堡	1
暗藏	1
暗娼	1
暗场	1
暗潮	1
暗处	2
暗淡	3
暗道	1
暗地里	1
暗度陈仓	1
暗房	1
暗访	1
暗沟	1
暗害	1
暗含	1
暗号	1
暗合	1
暗盒	1
暗花儿	1
暗火	1
暗疾	1
暗间儿	1
暗箭	2
暗礁	2
暗井	1
暗记儿	1
暗里	1
暗恋	1
暗流	2
暗楼子	1
暗码	1
暗昧	2
暗盘	1
暗器	1
暗弱	2
暗杀	1
暗沙	1
暗伤	3
暗哨	1
暗射	1
暗射地图	1
暗示	2
暗事	1
暗室	2
暗送秋波	1
暗算	1
暗锁	1
暗滩	1
暗探	2
暗无天日	1
暗物质	1
暗喜	1
暗匣	1
暗下	1
暗线	2
暗箱	1
暗箱操作	1
暗笑	2
暗影	1
暗语	1
暗喻	1
暗中	2
暗转	1
暗自	1
黯	1
黯淡	1
黯黑	2
黯然	2
肮	2
卬	5
昂	3
昂昂	1
昂藏	1
昂奋	1
昂贵	1
昂然	1
昂首	1
昂首阔步	1
昂扬	2
枊	1
盎	1
盎格鲁撒克逊人	1
盎然	1
盎司	1
凹	1
凹版	1
凹面镜	1
凹透镜	1
凹陷	1
熬	4
熬心	1
爊	2
敖	3
敖包	1
隞	1
嶅	2
遨	1
遨游	1
嗷	1
嗷嗷	1
嗷嗷待哺	1
廒	1
璈	1
獒	1
熬煎	1
熬磨	2
熬年头儿	1
熬头儿	1
熬夜	1
聱	1
螯	1
螯肢动物	1
翱	1
翱翔	1
謷	1
鳌	1
鳌山	1
鳌头	1
嚣	1
鏖	1
鏖战	1
拗	1
袄	1
媪	1
岙	1
坳	1
拗口	1
拗口令	1
奡	3
傲	2
傲岸	1
傲骨	1
傲慢	1
傲气	2
傲然	1
傲人	1
傲世	1
傲视	1
傲物	1
奥	3
奥博	2
奥林匹克运动会	1
奥秘	1
奥妙	1
奥义	1
奥援	1
奥运村	1
奥运会	1
奥旨	1
骜	3
慠	1
隩	1
墺	2
澳	2
澳抗	1
澳门币	1
懊	1
懊恨	1
懊悔	1
懊█	1
懊恼	1
懊丧	1
鏊	1
八	2
八拜之交	1
八宝菜	1
八宝饭	1
八宝粥	1
八辈子	1
八成	2
八斗才	1
八方	1
八分书	1
八竿子打不着	1
八哥	1
八股	1
八卦	1
八卦教	1
八国联军	1
八行书	1
八角	1
八角枫	1
八角茴香	2
八节	1
八九不离十	1
八路	1
八路军	1
八面光	1
八面玲珑	1
八面威风	1
八旗	1
八下里	1
八仙	2
八仙过海	1
八仙桌	1
八一建军节	1
八一南昌起义	1
八音盒	1
八月节	1
八字	1
八字步	1
八字没一撇	1
八字帖儿	1
巴	1
巴巴	1
巴巴结结	2
巴巴儿地	2
巴不得	1
巴旦杏	1
巴豆	2
巴结	2
巴黎公社	1
巴林石	1
巴儿狗	1
巴山蜀水	1
巴士	1
巴松	1
巴头探脑儿	1
巴望	2
巴乌	1
巴掌	1
扒	4
扒车	1
扒带	2
扒拉	1
扒皮	1
扒头儿	1
叭	1
叭儿狗	1
朳	1
芭	1
芭蕉	1
芭蕉扇	1
芭蕾舞	1
夿	1
吧	4
吧嗒	2
吧唧	2
吧女	1
吧台	1
岜	1
峇	1
疤	2
疤痕	1
疤拉	1
疤拉眼儿	1
疤瘌	1
疤瘌眼儿	2
捌	1
笆	1
笆斗	1
笆篱	1
笆篱子	1
笆篓	1
粑	1
粑粑	1
鲃	1
拔	8
拔除	1
拔刀相助	1
拔地而起	1
拔份	1
拔高	2
拔罐子	1
拔河	1
拔火罐儿	1
拔火筒	1
拔尖儿	2
拔脚	1
拔节	1
拔锚	1
拔苗助长	1
拔取	1
拔丝	1
拔俗	1
拔腿	2
拔营	1
拔擢	1
胈	1
菝	1
跋	1
跋扈	1
跋前疐后	1
跋前踬后	1
跋山涉水	1
跋涉	1
跋文	1
跋语	1
魃	1
鼥	1
把	2
把柄	2
把持	2
把舵	1
把风	1
把关	2
把家	1
把角儿	1
把酒	1
把口儿	1
把揽	1
把牢	1
把脉	2
把门	2
把式	1
把势	3
把手	2
把守	1
把头	1
把玩	1
把稳	1
把握	3
把戏	2
把兄弟	1
把斋	1
把盏	1
把捉	1
把子	1
██	1
钯	1
靶	1
靶标	1
靶场	1
靶船	1
靶点	1
靶机	1
靶器官	1
靶台	1
靶细胞	1
靶心	1
靶子	1
坝	4
坝塘	1
坝田	1
坝子	1
弝	1
爸	1
爸爸	1
耙	2
罢	1
罢笔	1
罢黜	2
罢工	1
罢官	1
罢教	1
罢考	1
罢课	1
罢了	1
罢练	1
罢论	1
罢免	1
罢免权	2
罢赛	1
罢市	1
罢手	1
罢讼	1
罢诉	1
罢休	1
罢演	1
罢战	1
罢职	1
鲅	1
鲌	1
霸	5
霸持	1
霸道	1
霸气	2
霸权	1
霸权主义	1
霸王	2
霸王鞭	1
霸业	1
霸占	1
霸主	2
灞	1
掰	1
掰腕子	1
█子	1
白	4
白皑皑	1
白矮星	1
白案	1
白白	2
白班	1
白版	1
白榜	1
白报纸	1
白璧微瑕	1
白璧无瑕	1
白醭	1
白不呲咧	1
白菜	2
白茬	3
白茶	1
白楂	1
白槎	1
白碴	1
白痴	2
白炽灯	1
白唇鹿	1
白醋	1
白搭	1
白带	1
白道	1
白地	1
白癜风	1
白丁	1
白垩	1
白矾	1
白饭	2
白费	1
白粉	3
白干儿	1
白宫	1
白骨	1
白骨顶	1
白骨精	1
白鹳	1
白果	1
白果儿	1
白鹤	1
白喉	1
白虎	2
白虎星	1
白花花	1
白化	1
白化病	1
白话	1
白话诗	1
白话文	1
白桦	1
白晃晃	1
白灰	1
白芨	1
白及	1
白█豚	1
白金	2
白金汉宫	1
白净	1
白酒	1
白驹过隙	1
白剧	1
白卷	1
白开水	1
白口	1
白蜡	2
白蜡虫	1
白蜡树	1
白兰地	1
白兰瓜	1
白莲教	1
白鲢	1
白蔹	1
白磷	1
白蛉	1
白领	1
白鹭	1
白露	1
白马王子	1
白茫茫	1
白毛风	1
白茅	1
白煤	2
白蒙蒙	1
白米	1
白面	1
白面儿	1
白面书生	1
白描	2
白木耳	1
白内障	1
白嫩	1
白皮书	1
白票	1
白旗	2
白鳍豚	1
白契	1
白镪	1
白区	1
白饶	2
白热	1
白热化	1
白人	1
白刃	1
白刃战	1
白日	2
白日见鬼	1
白日做梦	1
白肉	1
白润	1
白色	2
白色恐怖	1
白色垃圾	1
白色收入	1
白色污染	1
白山黑水	1
白鳝	1
白食	1
白事	1
白手	1
白手起家	1
白首	1
白薯	1
白水	2
白苏	1
白汤	1
白糖	1
白陶	1
白体	1
白天	1
白田	1
白条	1
白铁	1
白厅	1
白铜	1
白头	1
白头鹎	1
白头翁	2
白头偕老	1
白玩儿	2
白文	3
白皙	1
白细胞	1
白鹇	1
白鲞	1
白相	1
白熊	1
白血病	1
白血球	1
白眼	1
白眼儿狼	1
白眼珠	1
白羊座	1
白杨	1
白药	1
白页	1
白夜	1
白衣苍狗	1
白衣天使	1
白衣战士	1
白蚁	1
白翳	1
白银	1
白玉	1
白云苍狗	1
白云岩	1
白灾	1
白斩鸡	1
白芷	1
白纸黑字	1
白质	1
白雉	1
白种	1
白昼	1
白术	1
白字	1
白族	1
白嘴儿	1
百	2
百般	2
百宝箱	1
百倍	1
百步穿杨	1
百尺竿头，更进一步	1
百出	1
百川归海	1
百儿八十	1
百发百中	2
百废俱兴	1
百分比	1
百分表	1
百分尺	1
百分点	1
百分号	1
百分率	1
百分数	1
百分之百	1
百分制	1
百感	1
百合	2
百花齐放	2
百花齐放，百家争鸣	1
百货	1
百家争鸣	2
百科	1
百科全书	1
百孔千疮	1
百口莫辩	1
百里	1
百里挑一	1
百炼成钢	1
百灵	1
百忙	1
百衲本	1
百衲衣	2
百年	2
百年不遇	1
百年大计	1
百日咳	1
百日维新	1
百十	1
百世	1
百事通	1
百思不解	1
百万	1
百闻不如一见	1
百无禁忌	1
百无聊赖	1
百无一失	1
百无一是	1
百物	1
百姓	1
百业	1
百叶	2
百叶窗	2
百叶箱	1
百依百顺	1
百战不殆	1
百折不挠	1
百褶裙	1
百足之虫，死而不僵	1
伯	1
佰	1
柏	1
柏油	1
捭	1
捭阖	1
摆	1
摆布	2
摆动	1
摆渡	3
摆放	1
摆功	1
摆好	1
摆划	4
摆架子	1
摆件	1
摆阔	1
摆擂台	1
摆列	1
摆龙门阵	1
摆门面	1
摆弄	3
摆拍	1
摆平	2
摆谱儿	2
摆设	2
摆手	2
摆摊子	3
摆脱	1
摆治	5
摆钟	1
摆桌	1
摆子	1
呗	2
败	9
败北	1
败笔	1
败兵	1
败果	1
败坏	2
败火	1
败绩	2
败家	1
败家子	1
败将	1
败局	1
败军	2
败类	1
败露	1
败落	1
败诉	1
败退	1
败亡	1
败胃	1
败象	1
败谢	1
败兴	2
败絮	1
败血症	1
败叶	1
败因	1
败仗	1
败阵	1
败子	1
败走	1
拜	7
拜把子	1
拜拜	2
拜别	1
拜忏	1
拜辞	1
拜倒	1
拜读	1
拜访	1
拜佛	1
拜服	1
拜贺	1
拜会	1
拜火教	1
拜见	1
拜节	1
拜金	1
拜客	1
拜盟	1
拜年	1
拜认	1
拜扫	1
拜师	1
拜识	1
拜寿	1
拜堂	1
拜天地	1
拜托	1
拜望	1
拜物教	2
拜谢	1
拜谒	2
稗	2
稗官野史	1
稗子	2
扳	1
扳本	1
扳不倒儿	1
扳倒	2
扳道	1
扳机	1
扳平	1
扳手	2
扳指儿	1
扳子	1
攽	1
班	8
班白	1
班辈	1
班驳	1
班车	1
班次	2
班底	2
班房	2
班会	1
班机	1
班级	1
班轮	1
班门弄斧	1
班配	1
班期	2
班师	1
班线	1
班主	1
班主任	1
班子	2
班组	1
般	1
般配	1
颁	1
颁白	1
颁布	1
颁发	2
颁奖	1
颁授	1
颁行	1
颁赠	1
斑	2
斑白	1
斑斑	1
斑驳	1
斑驳陆离	1
斑点	1
斑痕	1
斑鸠	1
斑斓	1
斑马	1
斑马线	1
斑蝥	1
斑秃	1
斑纹	1
斑竹	1
搬	2
搬兵	1
搬家	2
搬弄	3
搬弄是非	1
搬起石头砸自己的脚	1
搬迁	1
搬演	1
搬移	2
搬用	1
搬运	1
斒	1
瘢	1
瘢痕	1
癍	1
阪	2
坂	1
板	1
板板六十四	1
板报	1
板壁	1
板材	1
板擦儿	1
板寸	1
板荡	1
板凳	1
板斧	1
板鼓	1
板胡	1
板结	2
板块	2
板蓝根	1
板栗	1
板楼	1
板上钉钉	1
板实	3
板式	1
板书	2
板刷	1
板瓦	1
板型	1
板鸭	1
板牙	2
板烟	1
板眼	3
板硬	1
板油	1
板障	2
板正	2
板滞	1
板筑	1
板子	2
昄	1
版	4
版本	2
版次	1
版画	1
版籍	3
版刻	1
版口	1
版面	2
版纳	1
版权	2
版权页	1
版式	1
版税	1
版图	1
版心	2
版型	1
版主	1
版筑	1
钣	1
钣金	1
舨	1
蝂	1
办	4
办案	1
办差	1
办法	1
办复	1
办公	1
办公室	2
办理	1
办事	1
办事处	1
办事员	1
办学	1
办罪	1
半	5
半百	1
半…半…	1
半半拉拉	1
半辈子	1
半壁	1
半壁江山	1
半边	1
半边天	2
半彪子	1
半…不…	1
半成品	1
半大	1
半大不小	1
半导体	1
半岛	1
半道儿	1
半点	1
半吊子	3
半封建	1
半疯儿	2
半价	1
半截	1
半斤八两	1
半径	1
半空	1
半拉	1
半劳动力	1
半劳力	1
半老徐娘	1
半流体	1
半路	2
半路出家	1
半票	1
半瓶醋	1
半山腰	1
半晌	1
半身不遂	1
半生	1
半生不熟	2
半世	1
半熟脸儿	1
半衰期	1
半死	2
半死不活	2
半天	2
半途	1
半途而废	1
半推半就	1
半托	1
半文盲	1
半夏	1
半信半疑	1
半休	1
半夜	2
半夜三更	1
半音	1
半元音	1
半圆	2
半月刊	1
半殖民地	1
半制品	1
半中腰	1
半子	1
半自动	1
扮	2
扮鬼脸	1
扮酷	1
扮饰	2
扮戏	2
扮相	2
扮演	1
扮装	1
伴	3
伴唱	1
伴当	1
伴读	1
伴发	1
伴郎	1
伴侣	1
伴娘	1
伴生	1
伴声	1
伴宿	2
伴随	1
伴同	1
伴舞	2
伴星	1
伴音	1
伴游	2
伴奏	1
坢	1
拌	1
拌和	1
拌蒜	1
拌嘴	1
绊	1
绊脚石	1
绊马索	1
绊儿	1
绊手绊脚	1
绊子	2
柈	1
湴	1
靽	1
瓣	5
瓣膜	1
瓣胃	1
邦	2
邦交	1
邦联	1
帮	3
帮办	2
帮补	1
帮衬	2
帮厨	1
帮凑	1
帮带	1
帮倒忙	1
帮扶	1
帮工	2
帮会	1
帮教	1
帮困	1
帮忙	1
帮派	1
帮腔	2
帮手	1
帮套	2
帮贴	1
帮闲	2
帮凶	2
帮佣	2
帮主	1
帮助	1
帮子	1
█啷	1
梆	3
梆硬	1
梆子	3
梆子腔	2
浜	1
绑	1
绑匪	1
绑缚	1
绑架	1
绑票	1
绑腿	1
绑扎	1
榜	3
榜额	1
榜首	1
榜书	1
榜尾	1
榜文	1
榜眼	1
榜样	1
牓	1
膀	1
膀臂	3
膀大腰圆	1
膀子	2
髈	1
蚌	1
棒	2
棒冰	1
棒疮	1
棒槌	2
棒喝	1
棒球	2
棒儿香	1
棒针	1
棒子	2
棒子面	1
棓	1
傍	3
傍边儿	1
傍黑儿	1
傍角儿	2
傍亮儿	1
傍明	1
傍人门户	1
傍晌	1
傍晚	1
傍午	1
傍依	1
谤	1
谤书	1
谤议	1
塝	1
搒	1
蒡	1
稖	1
蜯	1
磅	2
磅秤	1
镑	1
艕	1
包	11
包办	2
包保	1
包庇	1
包藏	1
包藏祸心	1
包产	1
包场	1
包抄	1
包车	2
包乘制	1
包打天下	1
包打听	2
包饭	2
包房	2
包费	2
包袱	4
包袱底儿	3
包袱皮儿	1
包干儿	2
包工	1
包工头	1
包公	1
包谷	1
包管	1
包裹	2
包含	1
包涵	1
包伙	4
包机	2
包间	1
包金	1
包举	1
包括	1
包揽	1
包罗	1
包罗万象	1
包米	1
包赔	1
包皮	2
包票	1
包青天	1
包容	2
包身工	2
包探	1
包头	2
包围	2
包围圈	1
包席	2
包厢	1
包销	2
包心菜	1
包养	1
包银	1
包圆儿	2
包月	1
包孕	1
包蕴	1
包扎	1
包装	3
包桌	1
包子	1
包租	3
苞	1
苞谷	1
苞米	1
孢	1
孢子	1
孢子植物	1
枹	1
胞	3
胞衣	1
胞子	1
炮	3
剥	1
龅	1
煲	2
煲电话粥	1
褒	2
褒贬	1
褒称	2
褒词	1
褒奖	1
褒扬	1
褒义	1
褒义词	1
雹	1
雹灾	1
雹子	1
薄	1
薄饼	1
薄脆	2
饱	5
饱餐	1
饱尝	2
饱读	1
饱嗝儿	1
饱含	1
饱汉不知饿汉饥	1
饱和	2
饱经沧桑	1
饱经风霜	1
饱览	1
饱满	2
饱食终日	1
饱学	1
饱以老拳	1
饱雨	1
宝	5
宝宝	1
宝贝	3
宝贝疙瘩	1
宝刹	2
宝刀	1
宝刀不老	1
宝岛	1
宝地	2
宝典	1
宝贵	2
宝号	2
宝剑	1
宝卷	1
宝眷	1
宝库	1
宝蓝	1
宝瓶座	1
宝石	1
宝塔	1
宝玩	1
宝物	1
宝玉	1
宝藏	1
宝重	1
宝珠	1
宝座	1
保	7
保安	3
保安族	1
保本	1
保膘	1
保镖	2
保不定	1
保不齐	1
保不住	2
保藏	1
保持	1
保存	1
保单	3
保底	2
保额	1
保费	1
保固	1
保管	3
保户	1
保护	1
保护关税	1
保护国	1
保护价	1
保护伞	1
保护色	1
保皇	1
保甲	1
保价	1
保驾	1
保荐	1
保健	1
保健操	1
保健球	1
保洁	1
保结	1
保举	1
保龄球	2
保留	3
保留剧目	1
保媒	1
保密	1
保苗	1
保命	1
保姆	3
保暖	1
保票	1
保期	2
保全	2
保人	1
保山	1
保墒	1
保湿	1
保释	1
保守	2
保税区	1
保送	1
保胎	1
保外就医	1
保卫	1
保温	1
保温杯	1
保温瓶	1
保鲜	1
保险	3
保险带	1
保险刀	1
保险灯	2
保险法	1
保险费	1
保险公司	1
保险柜	1
保险金额	1
保险人	1
保险丝	1
保险箱	1
保修	2
保养	2
保有	1
保佑	1
保育	1
保育员	1
保育院	1
保障	2
保真	2
保证	3
保证金	2
保证人	3
保证书	1
保值	1
保重	1
保状	1
保准	2
鸨	2
鸨母	1
葆	1
堡	1
堡垒	2
褓	1
报	10
报案	1
报表	1
报偿	1
报呈	1
报仇	1
报酬	1
报春花	2
报答	1
报单	2
报导	4
报到	1
报道	2
报德	1
报读	1
报端	1
报恩	1
报废	1
报复	1
报告	2
报告文学	1
报关	1
报馆	1
报国	1
报花	1
报话	2
报话机	1
报价	2
报捷	1
报警	1
报刊	1
报考	1
报矿	1
报料	2
报领	1
报名	1
报幕	1
报批	1
报请	1
报人	1
报丧	1
报社	1
报审	1
报失	1
报时	1
报收	1
报数	1
报税	1
报送	1
报亭	1
报童	1
报头	1
报务	1
报喜	1
报销	3
报晓	1
报效	1
报信	1
报修	1
报眼	1
报业	1
报应	1
报怨	1
报站	1
报章	1
报账	1
报纸	2
报子	4
刨	2
刨冰	1
刨床	2
刨刀	3
刨工	2
刨花	1
刨花板	1
刨刃儿	1
刨子	1
抱	1
抱病	1
抱不平	1
抱残守缺	1
抱持	1
抱粗腿	1
抱佛脚	1
抱负	1
抱憾	1
抱恨	1
抱愧	1
抱歉	1
抱屈	1
抱拳	1
抱厦	1
抱身儿	1
抱头鼠窜	1
抱团儿	1
抱委屈	1
抱窝	1
抱薪救火	1
抱养	1
抱冤	1
抱怨	1
抱柱对儿	1
趵	1
豹	2
豹猫	1
豹子	1
鲍	2
鲍鱼	1
暴	1
暴病	1
暴跌	1
暴动	1
暴发	2
暴风	2
暴风雪	1
暴风雨	1
暴风骤雨	1
暴富	1
暴光	1
暴虎冯河	1
暴君	1
暴库	1
暴雷	1
暴力	2
暴利	1
暴戾	1
暴戾恣睢	1
暴烈	2
暴露	1
暴露文学	1
暴乱	1
暴民	1
暴怒	1
暴虐	2
暴晒	1
暴尸	1
暴死	1
暴殄天物	1
暴跳	1
暴跳如雷	1
暴突	1
暴徒	1
暴泻	2
暴行	1
暴饮暴食	1
暴雨	2
暴躁	1
暴增	1
暴涨	2
暴涨潮	1
暴政	1
暴卒	1
虣	1
瀑	1
曝	1
爆	3
爆炒	1
爆肚儿	1
爆发	2
爆发变星	1
爆发力	1
爆发音	1
爆冷	1
爆冷门	1
爆料	1
爆裂	1
爆满	1
爆棚	1
爆破	1
爆破筒	1
爆胎	1
爆笑	1
爆炸	2
爆炸性	1
爆仗	1
爆竹	1
陂	1
杯	3
杯葛	1
杯弓蛇影	1
杯珓	1
杯盘狼藉	1
杯赛	1
杯水车薪	1
杯中物	1
杯子	1
卑	4
卑鄙	2
卑不足道	1
卑词	1
卑辞	1
卑躬屈节	1
卑躬屈膝	1
卑贱	2
卑劣	1
卑怯	1
卑俗	1
卑微	1
卑污	1
卑下	2
卑职	2
背	9
背榜	1
背包	2
背包袱	1
背带	2
背篼	1
背负	2
背黑锅	1
背饥荒	1
背筐	1
背篓	1
背头	1
背债	1
背子	1
椑	1
悲	2
悲哀	1
悲惨	1
悲愁	1
悲楚	1
悲怆	1
悲悼	1
悲愤	1
悲歌	2
悲观	1
悲号	1
悲欢离合	1
悲剧	2
悲苦	1
悲凉	1
悲悯	1
悲鸣	1
悲凄	1
悲戚	1
悲泣	1
悲切	1
悲情	2
悲伤	1
悲声	1
悲酸	1
悲叹	1
悲天悯人	1
悲恸	1
悲痛	1
悲喜交集	1
悲喜剧	1
悲辛	1
悲咽	1
悲壮	1
碑	1
碑额	1
碑记	1
碑碣	1
碑刻	1
碑林	1
碑铭	1
碑首	1
碑拓	1
碑帖	1
碑头	1
碑文	1
碑阴	1
碑志	1
碑座	1
鹎	1
箄	1
北	1
北半球	1
北边	3
北朝	1
北辰	1
北斗星	1
北豆腐	1
北伐战争	1
北方	2
北方话	1
北非	1
北瓜	1
北国	1
北寒带	1
北回归线	1
北货	1
北极	2
北极光	1
北极圈	1
北极星	1
北极熊	1
北京时间	1
北京猿人	1
北面	1
北欧	1
北齐	1
北曲	2
北山羊	1
北上	1
北宋	1
北纬	1
北魏	1
北温带	1
北洋	1
北洋军阀	1
北野	1
北周	1
贝	1
贝雕	1
贝多	1
贝尔	1
贝壳	1
贝勒	1
贝雷帽	1
贝母	1
贝书	1
贝塔粒子	1
贝塔射线	1
贝叶书	1
贝叶棕	1
贝子	1
孛	2
邶	2
狈	1
备	6
备案	1
备办	1
备不住	1
备查	1
备份	2
备耕	1
备荒	1
备货	1
备件	1
备考	3
备课	1
备料	1
备品	1
备勤	1
备取	1
备述	1
备忘录	2
备选	1
备汛	1
备用	1
备灾	1
备战	1
备至	1
备注	2
背不住	1
背称	1
背城借一	1
背城一战	1
背搭子	1
背道而驰	1
背地里	1
背对背	1
背风	1
背旮旯儿	1
背光	1
背后	2
背晦	1
背货	1
背脊	1
背剪	1
背井离乡	1
背景	4
背景音乐	1
背静	1
背靠背	2
背离	2
背理	1
背面	2
背谬	1
背叛	1
背鳍	1
背气	1
背弃	1
背人	2
背时	2
背书	1
背水一战	1
背水阵	1
背诵	1
背投电视	1
背心	1
背信弃义	1
背兴	1
背眼	1
背阴	2
背影	1
背约	1
背运	2
背字儿	1
钡	1
钡餐	1
倍	3
倍道	1
倍加	1
倍率	1
倍儿	1
倍式	1
倍数	2
倍增	1
悖	3
悖晦	1
悖理	1
悖论	1
悖谬	1
悖逆	1
悖入悖出	1
悖时	1
被	2
被褡子	1
被袋	1
被单	2
被动	2
被动式	1
被服	1
被覆	3
被告	1
被害人	1
被里	1
被面	1
被难	2
被褥	1
被套	3
被头	2
被窝儿	1
被卧	1
被选举权	2
被罩	1
被子	1
被子植物	1
辈	3
辈出	1
辈分	1
辈行	1
辈数儿	1
辈子	1
惫	1
焙	1
焙粉	1
焙烧	1
蓓	1
碚	1
鞁	2
骳	1
褙	1
褙子	1
糒	1
鞴	1
鐾	1
臂	1
奔	4
奔波	1
奔驰	1
奔窜	1
奔放	1
奔赴	1
奔劳	1
奔流	1
奔忙	1
奔命	1
奔跑	1
奔丧	1
奔驶	1
奔逝	1
奔逃	1
奔腾	1
奔突	1
奔袭	1
奔泻	1
奔涌	1
奔逐	1
奔走	2
奔走呼号	1
贲	1
贲门	1
栟	1
犇	1
锛	3
锛子	1
本	6
本本	1
本本主义	1
本币	1
本部	1
本埠	1
本草	1
本初子午线	1
本岛	1
本地	1
本分	2
本固枝荣	1
本行	2
本纪	1
本家	1
本家儿	1
本金	2
本科	1
本来	3
本利	1
本领	1
本名	2
本命年	1
本末	2
本末倒置	1
本能	2
本票	1
本钱	2
本人	2
本嗓	1
本色	1
本身	1
本事	1
本诉	1
本题	1
本体	2
本土	2
本位	3
本位货币	1
本位主义	1
本文	2
本息	1
本戏	1
本乡本土	1
本相	1
本心	1
本性	1
本业	2
本义	1
本意	1
本原	1
本源	1
本愿	1
本真	2
本证	1
本职	1
本旨	1
本质	1
本主儿	2
本子	4
本字	1
苯	1
苯并芘	1
苯甲基	1
畚	3
畚斗	1
畚箕	1
夯	4
坋	1
坌	5
奔头儿	1
倴	1
笨	3
笨伯	1
笨蛋	1
笨活儿	1
笨口拙舌	1
笨鸟先飞	1
笨手笨脚	1
笨头笨脑	2
笨重	2
笨拙	1
笨嘴拙舌	1
伻	2
祊	2
崩	5
崩溃	1
崩裂	1
崩龙族	1
崩盘	1
崩塌	1
崩坍	1
绷	2
绷场面	1
绷带	1
