word	count1	flag1	count0	flag0	all	score
依偎	16	v	0	v	16	1.0
杏花	16	n	0	n	16	1.0
初春	16	t	0	t	16	1.0
洒落	15	v	0	v	15	1.0
心间	15	n	0	n	15	1.0
情思	15	n	0	n	15	1.0
幽静	15	a	0	a	15	1.0
流连	15	v	0	v	15	1.0
朵朵	15	q	0	q	15	1.0
铺满	15	v	0	v	15	1.0
愁绪	15	n	0	n	15	1.0
碧水	15	nr	0	nr	15	1.0
雨露	15	nr	0	nr	15	1.0
云烟	15	n	0	n	15	1.0
奔腾	15	v	0	v	15	1.0
一叶	15	m	0	m	15	1.0
湛蓝	15	z	0	z	15	1.0
沁人心脾	14	i	0	i	14	1.0
吟唱	14	v	0	v	14	1.0
伊人	14	nrt	0	nrt	14	1.0
绿荫	14	n	0	n	14	1.0
远山	14	ns	0	ns	14	1.0
仙子	14	n	0	n	14	1.0
惊扰	14	v	0	v	14	1.0
鸟鸣	14	v	0	v	14	1.0
嫩绿	14	b	0	b	14	1.0
露珠	14	n	0	n	14	1.0
和煦	14	nr	0	nr	14	1.0
小院	14	n	0	n	14	1.0
静默	14	nr	0	nr	14	1.0
荷塘	14	ns	0	ns	14	1.0
染	14	n	0	n	14	1.0
水手	14	n	0	n	14	1.0
冬雪	14	n	0	n	14	1.0
帘	14	ng	0	ng	14	1.0
耳畔	13	n	0	n	13	1.0
高山流水	13	ns	0	ns	13	1.0
醉人	13	n	0	n	13	1.0
一枝	13	m	0	m	13	1.0
几多	13	m	0	m	13	1.0
丰盈	13	a	0	a	13	1.0
枝条	13	n	0	n	13	1.0
淅淅沥沥	13	z	0	z	13	1.0
乡愁	13	n	0	n	13	1.0
娇艳	13	a	0	a	13	1.0
怒放	13	v	0	v	13	1.0
一隅	13	n	0	n	13	1.0
秀美	13	a	0	a	13	1.0
眉间	13	n	0	n	13	1.0
苍穹	13	n	0	n	13	1.0
琴弦	13	n	0	n	13	1.0
缠绕	13	v	0	v	13	1.0
桃红	13	n	0	n	13	1.0
浅夏	13	n	0	n	13	1.0
妖娆	13	a	0	a	13	1.0
三生	13	b	0	b	13	1.0
爱恨	12	a	0	a	12	1.0
洗涤	12	v	0	v	12	1.0
菊	12	ng	0	ng	12	1.0
聚散	12	v	0	v	12	1.0
杨柳	12	nr	0	nr	12	1.0
青苔	12	n	0	n	12	1.0
空灵	12	n	0	n	12	1.0
风月	12	n	0	n	12	1.0
心语	12	n	0	n	12	1.0
拥	12	v	0	v	12	1.0
夜雨	12	t	0	t	12	1.0
飞花	12	n	0	n	12	1.0
若隐若现	12	i	0	i	12	1.0
恬淡	12	a	0	a	12	1.0
山峦	12	n	0	n	12	1.0
执念	12	n	0	n	12	1.0
缥缈	12	a	0	a	12	1.0
哀怨	12	v	0	v	12	1.0
静好	12	z	0	z	12	1.0
琉璃	12	n	0	n	12	1.0
搁浅	12	v	0	v	12	1.0
迷离	12	v	0	v	12	1.0
而过	12	c	0	c	12	1.0
柔美	12	a	0	a	12	1.0
水声	12	n	0	n	12	1.0
山河	12	ns	0	ns	12	1.0
缕缕	12	z	0	z	12	1.0
飞雪	12	n	0	n	12	1.0
葱茏	12	z	0	z	12	1.0
城池	11	n	0	n	11	1.0
雪山	11	nr	0	nr	11	1.0
阡陌	11	n	0	n	11	1.0
晚风	11	n	0	n	11	1.0
溅	11	v	0	v	11	1.0
灯火阑珊	11	i	0	i	11	1.0
春花	11	n	0	n	11	1.0
唤醒	11	v	0	v	11	1.0
舞动	11	n	0	n	11	1.0
朦朦胧胧	11	z	0	z	11	1.0
瘦子	11	n	0	n	11	1.0
清亮	11	a	0	a	11	1.0
消逝	11	vn	0	vn	11	1.0
碧	11	nr	0	nr	11	1.0
秀丽	11	a	0	a	11	1.0
掬	11	v	0	v	11	1.0
编织	11	n	0	n	11	1.0
亭亭玉立	11	i	0	i	11	1.0
蓝天白云	11	nr	0	nr	11	1.0
一纸	11	m	0	m	11	1.0
幽梦	11	n	0	n	11	1.0
心弦	11	n	0	n	11	1.0
纵横	11	v	0	v	11	1.0
漫过	11	v	0	v	11	1.0
落幕	11	v	0	v	11	1.0
淡泊	11	n	0	n	11	1.0
星光	11	n	0	n	11	1.0
穿透	11	v	0	v	11	1.0
墨	11	n	0	n	11	1.0
交织	11	n	0	n	11	1.0
晶莹剔透	11	i	0	i	11	1.0
柳枝	11	nr	0	nr	11	1.0
清雅	11	a	0	a	11	1.0
细细的	11	z	0	z	11	1.0
波浪	11	nz	0	nz	11	1.0
飘飞	11	v	0	v	11	1.0
静止	11	v	0	v	11	1.0
萧萧	11	nr	0	nr	11	1.0
清茶	11	n	0	n	11	1.0
吹散	11	v	0	v	11	1.0
旷野	11	nr	0	nr	11	1.0
星辰	10	n	0	n	10	1.0
水墨画	10	n	0	n	10	1.0
开来	10	v	0	v	10	1.0
往昔	10	t	0	t	10	1.0
春日	10	t	0	t	10	1.0
轮廓	10	n	0	n	10	1.0
浮动	10	vn	0	vn	10	1.0
岸	10	n	0	n	10	1.0
午门	10	ns	0	ns	10	1.0
淡雅	10	z	0	z	10	1.0
凋谢	10	v	0	v	10	1.0
春季	10	t	0	t	10	1.0
暮	10	tg	0	tg	10	1.0
轻纱	10	n	0	n	10	1.0
环绕	10	v	0	v	10	1.0
悲欢	10	v	0	v	10	1.0
触及	10	v	0	v	10	1.0
款款	10	n	0	n	10	1.0
霞光	10	n	0	n	10	1.0
风韵	10	n	0	n	10	1.0
卷起	10	v	0	v	10	1.0
交错	10	v	0	v	10	1.0
唐诗宋词	10	nr	0	nr	10	1.0
幽香	10	n	0	n	10	1.0
圆月	10	t	0	t	10	1.0
如若	10	c	0	c	10	1.0
河床	10	n	0	n	10	1.0
千百度	10	m	0	m	10	1.0
丁香	10	nr	0	nr	10	1.0
翩翩起舞	10	i	0	i	10	1.0
木桥	10	nr	0	nr	10	1.0
西楼	10	ns	0	ns	10	1.0
浓浓	10	z	0	z	10	1.0
一阕	10	m	0	m	10	1.0
西塘	10	ns	0	ns	10	1.0
跋涉	10	v	0	v	10	1.0
笑靥	10	n	0	n	10	1.0
百花	10	n	0	n	10	1.0
一簇簇	10	m	0	m	10	1.0
娇羞	10	a	0	a	10	1.0
奈何	10	v	0	v	10	1.0
清冷	10	a	0	a	10	1.0
殇	10	vg	0	vg	10	1.0
静心	10	n	0	n	10	1.0
潭	10	n	0	n	10	1.0
音	10	n	0	n	10	1.0
云水	10	ns	0	ns	10	1.0
花事	10	n	0	n	10	1.0
映衬	10	v	0	v	10	1.0
翩翩	10	nr	0	nr	10	1.0
油纸伞	10	n	0	n	10	1.0
乱石	10	n	0	n	10	1.0
海棠	10	n	0	n	10	1.0
写意	9	v	0	v	9	1.0
羽毛	9	n	0	n	9	1.0
三千	9	m	0	m	9	1.0
垂柳	9	n	0	n	9	1.0
光泽	9	n	0	n	9	1.0
雅致	9	a	0	a	9	1.0
归于	9	v	0	v	9	1.0
洒满	9	a	0	a	9	1.0
水花	9	n	0	n	9	1.0
清浅	9	a	0	a	9	1.0
染成	9	v	0	v	9	1.0
肃穆	9	a	0	a	9	1.0
波光	9	nz	0	nz	9	1.0
执子之手	9	l	0	l	9	1.0
众里	9	m	0	m	9	1.0
启程	9	n	0	n	9	1.0
萦绕在	9	z	0	z	9	1.0
如玉	9	nr	0	nr	9	1.0
掌心	9	v	0	v	9	1.0
韵	9	n	0	n	9	1.0
芭蕉	9	n	0	n	9	1.0
起舞	9	v	0	v	9	1.0
霓裳	9	n	0	n	9	1.0
灵魂深处	9	i	0	i	9	1.0
千山万水	9	i	0	i	9	1.0
拂面	9	n	0	n	9	1.0
蓝蓝的	9	z	0	z	9	1.0
心静	9	a	0	a	9	1.0
迷蒙	9	z	0	z	9	1.0
蓬勃	9	nr	0	nr	9	1.0
粉红	9	b	0	b	9	1.0
阑珊	9	v	0	v	9	1.0
节气	9	n	0	n	9	1.0
韶光	9	nr	0	nr	9	1.0
西风	9	nr	0	nr	9	1.0
雨声	9	n	0	n	9	1.0
踌躇	9	v	0	v	9	1.0
白雾	9	n	0	n	9	1.0
眸子	9	n	0	n	9	1.0
兀自	9	d	0	d	9	1.0
姜夔	9	nr	0	nr	9	1.0
沟壑	9	n	0	n	9	1.0
痴	9	a	0	a	9	1.0
一腔	9	m	0	m	9	1.0
风尘	9	n	0	n	9	1.0
繁星	9	n	0	n	9	1.0
笺	9	v	0	v	9	1.0
狂风	9	n	0	n	9	1.0
装点	9	n	0	n	9	1.0
珍重	9	a	0	a	9	1.0
眉眼	9	n	0	n	9	1.0
博大	9	a	0	a	9	1.0
层层叠叠	9	z	0	z	9	1.0
嫣然	9	b	0	b	9	1.0
飘过	9	v	0	v	9	1.0
濯	9	vg	0	vg	9	1.0
老树	9	n	0	n	9	1.0
杏树	9	n	0	n	9	1.0
一缕缕	9	i	0	i	9	1.0
杜鹃	9	nr	0	nr	9	1.0
蘸	9	v	0	v	9	1.0
苏醒	9	nr	0	nr	9	1.0
水边	9	s	0	s	9	1.0
倾泻	9	v	0	v	9	1.0
流觞	9	n	0	n	9	1.0
轻抚	9	n	0	n	9	1.0
瑟瑟	9	z	0	z	9	1.0
荡起	9	v	0	v	9	1.0
香樟	9	ns	0	ns	9	1.0
遮	8	v	0	v	8	1.0
痴痴	8	z	0	z	8	1.0
浸润	8	v	0	v	8	1.0
撞击	8	v	0	v	8	1.0
青色	8	n	0	n	8	1.0
随波逐流	8	i	0	i	8	1.0
眷念	8	n	0	n	8	1.0
拭去	8	v	0	v	8	1.0
诗行	8	n	0	n	8	1.0
歌谣	8	n	0	n	8	1.0
朝霞	8	ns	0	ns	8	1.0
车轮	8	n	0	n	8	1.0
屋内	8	s	0	s	8	1.0
苍苍	8	z	0	z	8	1.0
桃花源	8	n	0	n	8	1.0
来生	8	v	0	v	8	1.0
叮咚	8	o	0	o	8	1.0
一色	8	n	0	n	8	1.0
流星	8	n	0	n	8	1.0
青石板路	8	n	0	n	8	1.0
宛若	8	nr	0	nr	8	1.0
铺展	8	vn	0	vn	8	1.0
脉络	8	n	0	n	8	1.0
俗世	8	v	0	v	8	1.0
丛中	8	f	0	f	8	1.0
枯黄	8	z	0	z	8	1.0
不畏	8	v	0	v	8	1.0
牵动	8	vn	0	vn	8	1.0
色彩斑斓	8	i	0	i	8	1.0
万亩	8	m	0	m	8	1.0
丹青	8	nr	0	nr	8	1.0
盏	8	q	0	q	8	1.0
山涧	8	nr	0	nr	8	1.0
风霜	8	n	0	n	8	1.0
都江堰	8	ns	0	ns	8	1.0
山花	8	n	0	n	8	1.0
曲曲折折	8	z	0	z	8	1.0
花期	8	n	0	n	8	1.0
春夏	8	t	0	t	8	1.0
一点一滴	8	m	0	m	8	1.0
旧梦	8	n	0	n	8	1.0
浸染	8	v	0	v	8	1.0
高耸	8	nr	0	nr	8	1.0
错落有致	8	i	0	i	8	1.0
怡	8	a	0	a	8	1.0
阳春	8	nr	0	nr	8	1.0
润	8	v	0	v	8	1.0
沁	8	v	0	v	8	1.0
澄澈	8	a	0	a	8	1.0
袂	8	ng	0	ng	8	1.0
万水千山	8	nz	0	nz	8	1.0
洁净	8	z	0	z	8	1.0
三生石	8	n	0	n	8	1.0
今世	8	t	0	t	8	1.0
休憩	8	v	0	v	8	1.0
酝酿	8	v	0	v	8	1.0
地老天荒	8	n	0	n	8	1.0
蔷薇	8	n	0	n	8	1.0
回望	8	v	0	v	8	1.0
复苏	8	v	0	v	8	1.0
抒	8	v	0	v	8	1.0
堪	8	v	0	v	8	1.0
馥郁	8	z	0	z	8	1.0
青烟	8	n	0	n	8	1.0
双眸	8	n	0	n	8	1.0
雾气	8	n	0	n	8	1.0
更替	8	v	0	v	8	1.0
鸳鸯	8	n	0	n	8	1.0
蒹	8	g	0	g	8	1.0
赐予	8	v	0	v	8	1.0
笔墨	8	n	0	n	8	1.0
江水	8	ns	0	ns	8	1.0
褪去	8	v	0	v	8	1.0
花海	8	ns	0	ns	8	1.0
柳树	8	nr	0	nr	8	1.0
吞噬	8	v	0	v	8	1.0
含笑	8	v	0	v	8	1.0
蝶	8	ng	0	ng	8	1.0
桑树	8	nr	0	nr	8	1.0
静听	8	v	0	v	8	1.0
清冽	8	a	0	a	8	1.0
巍峨	8	z	0	z	8	1.0
丝丝缕缕	8	z	0	z	8	1.0
凭栏	8	n	0	n	8	1.0
执笔	8	v	0	v	8	1.0
再续	8	d	0	d	8	1.0
荷香	8	n	0	n	8	1.0
七彩	8	nz	0	nz	8	1.0
含羞	8	a	0	a	8	1.0
滴落	8	v	0	v	8	1.0
浅笑	8	nr	0	nr	8	1.0
青松	8	n	0	n	8	1.0
藤蔓	8	n	0	n	8	1.0
冰川	8	ns	0	ns	8	1.0
流光	8	n	0	n	8	1.0
无眠	8	v	0	v	8	1.0
丝瓜	8	n	0	n	8	1.0
遗落	8	n	0	n	8	1.0
期许	8	v	0	v	8	1.0
映照	8	v	0	v	8	1.0
艳	8	a	0	a	8	1.0
素雅	8	a	0	a	8	1.0
隐	8	n	0	n	8	1.0
寂寂	8	a	0	a	8	1.0
雨珠	8	nr	0	nr	8	1.0
瑞雪	8	nr	0	nr	8	1.0
闪亮	8	z	0	z	8	1.0
薄雾	8	n	0	n	8	1.0
枕着	7	v	0	v	7	1.0
久远	7	d	0	d	7	1.0
入梦	7	v	0	v	7	1.0
起起落落	7	i	0	i	7	1.0
擦肩	7	v	0	v	7	1.0
团团	7	n	0	n	7	1.0
神韵	7	n	0	n	7	1.0
孩童	7	n	0	n	7	1.0
暮色	7	n	0	n	7	1.0
纷纷扬扬	7	i	0	i	7	1.0
古道	7	n	0	n	7	1.0
粗犷	7	a	0	a	7	1.0
仿若	7	v	0	v	7	1.0
素笺	7	n	0	n	7	1.0
鸣	7	v	0	v	7	1.0
薄凉	7	a	0	a	7	1.0
露水	7	v	0	v	7	1.0
难以忘怀	7	i	0	i	7	1.0
波澜壮阔	7	i	0	i	7	1.0
吟	7	v	0	v	7	1.0
炎热	7	a	0	a	7	1.0
南国	7	ns	0	ns	7	1.0
岸畔	7	n	0	n	7	1.0
莲叶	7	n	0	n	7	1.0
灵气	7	n	0	n	7	1.0
一别	7	d	0	d	7	1.0
潋滟	7	z	0	z	7	1.0
温存	7	n	0	n	7	1.0
山色	7	n	0	n	7	1.0
未央	7	n	0	n	7	1.0
离愁	7	v	0	v	7	1.0
泪滴	7	n	0	n	7	1.0
落山	7	ns	0	ns	7	1.0
柔柔	7	a	0	a	7	1.0
皑皑	7	z	0	z	7	1.0
花蕊	7	n	0	n	7	1.0
黛	7	ng	0	ng	7	1.0
墨香	7	nr	0	nr	7	1.0
童心	7	n	0	n	7	1.0
感慨万千	7	i	0	i	7	1.0
恣意	7	d	0	d	7	1.0
惊鸿	7	n	0	n	7	1.0
如诗如画	7	l	0	l	7	1.0
高歌	7	n	0	n	7	1.0
春花秋月	7	nr	0	nr	7	1.0
小楼	7	n	0	n	7	1.0
奈何桥	7	ns	0	ns	7	1.0
白玉	7	nr	0	nr	7	1.0
舒缓	7	a	0	a	7	1.0
脉脉	7	n	0	n	7	1.0
光华	7	nz	0	nz	7	1.0
妖艳	7	a	0	a	7	1.0
清丽	7	a	0	a	7	1.0
执手	7	v	0	v	7	1.0
转角	7	n	0	n	7	1.0
超凡脱俗	7	i	0	i	7	1.0
青山绿水	7	ns	0	ns	7	1.0
残红	7	n	0	n	7	1.0
与子偕老	7	i	0	i	7	1.0
古今	7	t	0	t	7	1.0
寻寻觅觅	7	l	0	l	7	1.0
断肠	7	n	0	n	7	1.0
夏夜	7	t	0	t	7	1.0
安放	7	v	0	v	7	1.0
窗台	7	n	0	n	7	1.0
念想	7	n	0	n	7	1.0
相随	7	v	0	v	7	1.0
拾起	7	v	0	v	7	1.0
对望	7	v	0	v	7	1.0
晨光	7	n	0	n	7	1.0
散开	7	v	0	v	7	1.0
重温	7	n	0	n	7	1.0
炊烟袅袅	7	l	0	l	7	1.0
菩提	7	n	0	n	7	1.0
风姿	7	n	0	n	7	1.0
山体	7	n	0	n	7	1.0
步步	7	n	0	n	7	1.0
半开	7	m	0	m	7	1.0
郁郁葱葱	7	i	0	i	7	1.0
壮丽	7	a	0	a	7	1.0
瀑	7	n	0	n	7	1.0
凝眸	7	v	0	v	7	1.0
抚平	7	ns	0	ns	7	1.0
浮生	7	v	0	v	7	1.0
回廊	7	n	0	n	7	1.0
碧波	7	nr	0	nr	7	1.0
秋叶	7	t	0	t	7	1.0
静美	7	a	0	a	7	1.0
倒映	7	v	0	v	7	1.0
袭来	7	v	0	v	7	1.0
幽怨	7	a	0	a	7	1.0
盈	7	vg	0	vg	7	1.0
墨绿	7	nr	0	nr	7	1.0
光秃秃	7	z	0	z	7	1.0
眠	7	vg	0	vg	7	1.0
斜阳	7	n	0	n	7	1.0
遮掩	7	v	0	v	7	1.0
飞鸟	7	n	0	n	7	1.0
长廊	7	n	0	n	7	1.0
浩渺	7	a	0	a	7	1.0
霓虹灯	7	n	0	n	7	1.0
胸膛	7	n	0	n	7	1.0
深不可测	7	i	0	i	7	1.0
悠悠的	7	z	0	z	7	1.0
私语	7	n	0	n	7	1.0
素衣	7	n	0	n	7	1.0
洒下	7	v	0	v	7	1.0
嫩芽	7	n	0	n	7	1.0
刺骨	7	n	0	n	7	1.0
天籁	7	n	0	n	7	1.0
撕扯	7	v	0	v	7	1.0
最深处	7	d	0	d	7	1.0
媚	7	vg	0	vg	7	1.0
小舟	7	nr	0	nr	7	1.0
高远	7	d	0	d	7	1.0
葭	7	g	0	g	7	1.0
乐章	7	nr	0	nr	7	1.0
禅心	7	n	0	n	7	1.0
映	7	v	0	v	7	1.0
树冠	7	n	0	n	7	1.0
粼粼	7	z	0	z	7	1.0
诗情画意	7	i	0	i	7	1.0
朝夕	7	n	0	n	7	1.0
陌路	7	n	0	n	7	1.0
尽显	7	v	0	v	7	1.0
帆	7	n	0	n	7	1.0
零落	7	n	0	n	7	1.0
白昼	7	nr	0	nr	7	1.0
激荡	7	v	0	v	7	1.0
灯红酒绿	7	n	0	n	7	1.0
随风飘	7	v	0	v	7	1.0
花丛	7	n	0	n	7	1.0
枯叶	7	t	0	t	7	1.0
百草	7	n	0	n	7	1.0
湖心	7	n	0	n	7	1.0
而立	7	v	0	v	7	1.0
远远望去	7	i	0	i	7	1.0
一行行	7	n	0	n	7	1.0
暗夜	7	d	0	d	7	1.0
玲珑	7	a	0	a	7	1.0
晚秋	7	t	0	t	7	1.0
苦艾	7	n	0	n	7	1.0
湖里	7	s	0	s	7	1.0
杜鹃花	7	nr	0	nr	7	1.0
葳蕤	7	a	0	a	7	1.0
共舞	7	n	0	n	7	1.0
悠远	7	a	0	a	7	1.0
陌	7	ag	0	ag	7	1.0
风雪	7	n	0	n	7	1.0
雨点	7	n	0	n	7	1.0
娇柔	7	a	0	a	7	1.0
荷西	7	ns	0	ns	7	1.0
体内	6	s	0	s	6	1.0
清泪	6	n	0	n	6	1.0
地平线	6	n	0	n	6	1.0
倾情	6	n	0	n	6	1.0
楼台	6	n	0	n	6	1.0
呈现出	6	v	0	v	6	1.0
驿站	6	n	0	n	6	1.0
雷雨	6	nr	0	nr	6	1.0
太行	6	j	0	j	6	1.0
君子	6	n	0	n	6	1.0
痕	6	ng	0	ng	6	1.0
锦绣	6	n	0	n	6	1.0
昙花一现	6	i	0	i	6	1.0
葱绿	6	z	0	z	6	1.0
坚硬	6	a	0	a	6	1.0
无恙	6	z	0	z	6	1.0
不羁	6	v	0	v	6	1.0
动情	6	n	0	n	6	1.0
纯白	6	a	0	a	6	1.0
童趣	6	n	0	n	6	1.0
鱼虾	6	n	0	n	6	1.0
半生	6	n	0	n	6	1.0
眼珠	6	n	0	n	6	1.0
烟波	6	n	0	n	6	1.0
落尽	6	v	0	v	6	1.0
云卷云舒	6	nr	0	nr	6	1.0
净土	6	n	0	n	6	1.0
放眼	6	v	0	v	6	1.0
彰显	6	v	0	v	6	1.0
早春	6	t	0	t	6	1.0
飘舞	6	v	0	v	6	1.0
落日	6	n	0	n	6	1.0
花苞	6	nr	0	nr	6	1.0
恍如	6	v	0	v	6	1.0
亦然	6	nr	0	nr	6	1.0
柔	6	v	0	v	6	1.0
荒原	6	n	0	n	6	1.0
月华	6	j	0	j	6	1.0
亘古	6	n	0	n	6	1.0
芳草	6	n	0	n	6	1.0
小鱼	6	n	0	n	6	1.0
各色	6	r	0	r	6	1.0
韵律	6	n	0	n	6	1.0
如梦如幻	6	i	0	i	6	1.0
冰雪	6	n	0	n	6	1.0
此情	6	r	0	r	6	1.0
放眼望去	6	i	0	i	6	1.0
蜻蜓	6	n	0	n	6	1.0
杨树	6	nr	0	nr	6	1.0
回旋	6	v	0	v	6	1.0
清清的	6	z	0	z	6	1.0
满山	6	ns	0	ns	6	1.0
珠	6	ng	0	ng	6	1.0
柳丝	6	nr	0	nr	6	1.0
眼底	6	t	0	t	6	1.0
冲刷	6	vn	0	vn	6	1.0
笔端	6	n	0	n	6	1.0
站成	6	v	0	v	6	1.0
风里	6	n	0	n	6	1.0
吹来	6	v	0	v	6	1.0
一座座	6	n	0	n	6	1.0
破碎	6	v	0	v	6	1.0
跋山涉水	6	i	0	i	6	1.0
春分	6	n	0	n	6	1.0
窗棂	6	n	0	n	6	1.0
月夜	6	t	0	t	6	1.0
伤情	6	n	0	n	6	1.0
染上	6	n	0	n	6	1.0
翠竹	6	nr	0	nr	6	1.0
竹叶	6	n	0	n	6	1.0
秋波	6	nr	0	nr	6	1.0
佛门	6	ns	0	ns	6	1.0
篇章	6	n	0	n	6	1.0
耸立	6	v	0	v	6	1.0
花季	6	t	0	t	6	1.0
麦田	6	nr	0	nr	6	1.0
在手	6	v	0	v	6	1.0
楼宇	6	nr	0	nr	6	1.0
热血	6	n	0	n	6	1.0
月儿	6	n	0	n	6	1.0
绝唱	6	v	0	v	6	1.0
生机勃勃	6	i	0	i	6	1.0
崇山峻岭	6	ns	0	ns	6	1.0
心香	6	n	0	n	6	1.0
繁花似锦	6	i	0	i	6	1.0
多彩	6	b	0	b	6	1.0
立于	6	d	0	d	6	1.0
断桥	6	n	0	n	6	1.0
船头	6	n	0	n	6	1.0
凡尘	6	nr	0	nr	6	1.0
暖阳	6	n	0	n	6	1.0
抚	6	ns	0	ns	6	1.0
翘首	6	v	0	v	6	1.0
浮萍	6	nr	0	nr	6	1.0
盛世	6	nr	0	nr	6	1.0
轻拂	6	v	0	v	6	1.0
掀起	6	v	0	v	6	1.0
庭前	6	f	0	f	6	1.0
任意	6	v	0	v	6	1.0
傲然	6	d	0	d	6	1.0
那刻	6	r	0	r	6	1.0
踏入	6	v	0	v	6	1.0
翩跹	6	v	0	v	6	1.0
流光溢彩	6	l	0	l	6	1.0
芦根	6	nr	0	nr	6	1.0
嫣红	6	b	0	b	6	1.0
红艳艳	6	nr	0	nr	6	1.0
飘忽	6	v	0	v	6	1.0
繁杂	6	a	0	a	6	1.0
缘浅	6	n	0	n	6	1.0
怡然	6	a	0	a	6	1.0
茗	6	ng	0	ng	6	1.0
松涛	6	nr	0	nr	6	1.0
闲愁	6	v	0	v	6	1.0
怦然心动	6	l	0	l	6	1.0
清泉	6	nz	0	nz	6	1.0
莲蓬	6	ns	0	ns	6	1.0
梧桐树	6	n	0	n	6	1.0
星星点点	6	n	0	n	6	1.0
红光	6	nr	0	nr	6	1.0
啁啾	6	o	0	o	6	1.0
凛冽	6	a	0	a	6	1.0
蹒跚	6	v	0	v	6	1.0
豪情	6	n	0	n	6	1.0
蕊	6	ng	0	ng	6	1.0
枝繁叶茂	6	i	0	i	6	1.0
风云	6	n	0	n	6	1.0
离合	6	v	0	v	6	1.0
残	6	n	0	n	6	1.0
五彩	6	nz	0	nz	6	1.0
娉婷	6	z	0	z	6	1.0
颤动	6	v	0	v	6	1.0
南山	6	ns	0	ns	6	1.0
世外桃源	6	n	0	n	6	1.0
花前月下	6	i	0	i	6	1.0
瓣	6	q	0	q	6	1.0
幻化成	6	nr	0	nr	6	1.0
本草	6	n	0	n	6	1.0
萧条	6	a	0	a	6	1.0
云层	6	n	0	n	6	1.0
银装素裹	6	n	0	n	6	1.0
抚琴	6	ns	0	ns	6	1.0
油然而生	6	i	0	i	6	1.0
波澜不惊	6	l	0	l	6	1.0
横斜	6	v	0	v	6	1.0
点缀着	6	y	0	y	6	1.0
日光	6	n	0	n	6	1.0
姿	6	n	0	n	6	1.0
夏至	6	t	0	t	6	1.0
出淤泥而不染	6	l	0	l	6	1.0
晕染	6	v	0	v	6	1.0
靰	6	x	0	x	6	1.0
鞡	6	zg	0	zg	6	1.0
秋色	6	n	0	n	6	1.0
雨雾	6	n	0	n	6	1.0
大雁	6	n	0	n	6	1.0
浓淡	6	a	0	a	6	1.0
斑驳陆离	6	n	0	n	6	1.0
恋上	6	v	0	v	6	1.0
麦穗	6	nr	0	nr	6	1.0
安暖	6	an	0	an	6	1.0
突兀	6	v	0	v	6	1.0
筝	6	n	0	n	6	1.0
希冀	6	nr	0	nr	6	1.0
迎春花	6	nr	0	nr	6	1.0
河畔	6	ns	0	ns	6	1.0
唐风	6	nr	0	nr	6	1.0
沐	6	vg	0	vg	6	1.0
唐宋	6	t	0	t	6	1.0
悲壮	6	a	0	a	6	1.0
寒气	6	n	0	n	6	1.0
情花	6	n	0	n	6	1.0
树花	6	n	0	n	6	1.0
画笔	6	n	0	n	6	1.0
尖角	6	n	0	n	6	1.0
落雪	6	n	0	n	6	1.0
清波	6	n	0	n	6	1.0
野鸭	6	n	0	n	6	1.0
北川	6	ns	0	ns	6	1.0
剪影	6	n	0	n	6	1.0
泠	6	nr	0	nr	6	1.0
蝶舞	6	n	0	n	6	1.0
戏曲	5	n	0	n	5	1.0
汝	5	nr	0	nr	5	1.0
唇齿	5	n	0	n	5	1.0
一层层	5	m	0	m	5	1.0
望眼欲穿	5	i	0	i	5	1.0
