Word	Docfreq_0	Docfreq_1	score
秋色	0	28	1.0
恣意	0	28	1.0
诗情画意	0	28	1.0
浅夏	0	28	1.0
河床	0	28	1.0
乐章	0	28	1.0
青色	0	28	1.0
素衣	0	28	1.0
抚平	0	28	1.0
壮丽	0	28	1.0
痴痴	0	28	1.0
转角	0	28	1.0
云水	0	28	1.0
素笺	0	28	1.0
缕缕	0	28	1.0
舒缓	0	28	1.0
唐风	0	28	1.0
妖	0	24	1.0
问世	0	24	1.0
翠竹	0	24	1.0
踌躇	0	24	1.0
朝霞	0	24	1.0
情花	0	24	1.0
冬雪	0	24	1.0
奈何桥	0	24	1.0
抚琴	0	24	1.0
缘聚	0	24	1.0
黛	0	24	1.0
消融	0	24	1.0
柳丝	0	24	1.0
瑞雪	0	24	1.0
飘摇	0	24	1.0
安暖	0	24	1.0
姜夔	0	24	1.0
剪影	0	24	1.0
脉脉	0	24	1.0
寂寂	0	24	1.0
窗棂	0	24	1.0
浅笑	0	24	1.0
苍苍	0	24	1.0
鸟鸣	0	24	1.0
豪情	0	24	1.0
韵律	0	24	1.0
莲叶	0	24	1.0
奈何	0	24	1.0
梧桐树	0	24	1.0
生机勃勃	0	24	1.0
海棠	0	24	1.0
悲壮	0	24	1.0
薄凉	0	24	1.0
清辉	0	24	1.0
妖艳	0	24	1.0
沟壑	0	24	1.0
花苞	0	24	1.0
衣袂	0	24	1.0
潋滟	0	24	1.0
娉婷	0	24	1.0
浩渺	0	24	1.0
怡人	0	24	1.0
绽	0	24	1.0
飘舞	0	24	1.0
白茫茫	0	20	1.0
夕照	0	20	1.0
清韵	0	20	1.0
渐次	0	20	1.0
闲愁	0	20	1.0
彩霞	0	20	1.0
云端	0	20	1.0
恣肆	0	20	1.0
喜人	0	20	1.0
韵致	0	20	1.0
絮语	0	20	1.0
地老天荒	0	20	1.0
坚冰	0	20	1.0
雨点	0	20	1.0
如若	0	20	1.0
眉	0	20	1.0
拨弄	0	20	1.0
翠	0	20	1.0
虚妄	0	20	1.0
沉香	0	20	1.0
离殇	0	20	1.0
亦然	0	20	1.0
挥毫	0	20	1.0
皈依	0	20	1.0
五彩	0	20	1.0
长空	0	20	1.0
海纳百川	0	20	1.0
嫣红	0	20	1.0
粉饰	0	20	1.0
哀愁	0	20	1.0
秋波	0	20	1.0
泪滴	0	20	1.0
遮掩	0	20	1.0
离合	0	20	1.0
迤逦	0	20	1.0
乱石	0	20	1.0
唐宋	0	20	1.0
白露	0	20	1.0
清寒	0	20	1.0
青灯	0	20	1.0
绝美	0	20	1.0
彩蝶	0	20	1.0
草长莺飞	0	20	1.0
烟波	0	20	1.0
熊熊	0	20	1.0
斜阳	0	20	1.0
陌	0	20	1.0
斑驳陆离	0	20	1.0
楼宇	0	20	1.0
流云	0	20	1.0
青莲	0	20	1.0
花团锦簇	0	20	1.0
晕染	0	20	1.0
山盟	0	20	1.0
恍如	0	20	1.0
残红	0	20	1.0
嶙峋	0	20	1.0
前缘	0	20	1.0
墨绿	0	20	1.0
疏影	0	20	1.0
余温	0	20	1.0
流光	0	20	1.0
望眼欲穿	0	20	1.0
飞花	0	20	1.0
千百度	0	20	1.0
清清	0	20	1.0
相依	0	20	1.0
柳絮	0	20	1.0
空城	0	20	1.0
娴静	0	20	1.0
月儿	0	20	1.0
痴念	0	20	1.0
轻纱	0	20	1.0
笔端	0	20	1.0
情丝	0	20	1.0
繁盛	0	16	1.0
浮生若梦	0	16	1.0
笺	0	16	1.0
山巅	0	16	1.0
一曲曲	0	16	1.0
寒潮	0	16	1.0
足音	0	16	1.0
水袖	0	16	1.0
夜话	0	16	1.0
雾霭	0	16	1.0
纤尘	0	16	1.0
寒夜	0	16	1.0
惑	0	16	1.0
樱花树	0	16	1.0
牵念	0	16	1.0
一往情深	0	16	1.0
近处	0	16	1.0
格桑花	0	16	1.0
巉岩	0	16	1.0
碧海	0	16	1.0
斗转星移	0	16	1.0
泡沫	0	16	1.0
涤荡	0	16	1.0
蝉鸣	0	16	1.0
浮尘	0	16	1.0
碎影	0	16	1.0
巨浪	0	16	1.0
遍野	0	16	1.0
青竹	0	16	1.0
情歌	0	16	1.0
银色	0	16	1.0
邻家	0	16	1.0
晨风	0	16	1.0
清波	0	16	1.0
幻梦	0	16	1.0
牵绊	0	16	1.0
命定	0	16	1.0
袅娜	0	16	1.0
风暴	0	16	1.0
俊秀	0	16	1.0
光晕	0	16	1.0
幽情	0	16	1.0
罅隙	0	16	1.0
底片	0	16	1.0
群芳	0	16	1.0
惊蛰	0	16	1.0
激流	0	16	1.0
静夜	0	16	1.0
禅悟	0	16	1.0
平湖	0	16	1.0
细语	0	16	1.0
染指	0	16	1.0
犹记	0	16	1.0
浅唱	0	16	1.0
瓦片	0	16	1.0
丰腴	0	16	1.0
含情	0	16	1.0
青松	0	16	1.0
楼台	0	16	1.0
芳容	0	16	1.0
折叠	0	16	1.0
起起伏伏	0	16	1.0
纸鸢	0	16	1.0
悲戚	0	16	1.0
金灿灿	0	16	1.0
渺远	0	16	1.0
素洁	0	16	1.0
铺陈	0	16	1.0
玲珑剔透	0	16	1.0
杯盏	0	16	1.0
色泽	0	16	1.0
莺歌燕舞	0	16	1.0
月缺	0	16	1.0
转角处	0	16	1.0
山冈	0	16	1.0
轻灵	0	16	1.0
不羁	0	16	1.0
亭亭	0	16	1.0
飞溅	0	16	1.0
孤芳自赏	0	16	1.0
冰凌	0	16	1.0
登场	0	16	1.0
涛声	0	16	1.0
山重水复	0	16	1.0
雅兴	0	16	1.0
丰美	0	16	1.0
慰	0	16	1.0
石拱桥	0	16	1.0
清词	0	16	1.0
千娇百媚	0	16	1.0
堤坝	0	16	1.0
蕊	0	16	1.0
相离	0	16	1.0
兰舟	0	16	1.0
装订	0	16	1.0
姿色	0	16	1.0
尘烟	0	16	1.0
奏响	0	16	1.0
半梦半	0	16	1.0
春心	0	16	1.0
雍容华贵	0	16	1.0
臂弯	0	16	1.0
镜花水月	0	16	1.0
韶华	0	16	1.0
纸张	0	16	1.0
门扉	0	16	1.0
遗世	0	16	1.0
清宁	0	16	1.0
水岸	0	16	1.0
莲蓬	0	16	1.0
思绪万千	0	16	1.0
萌发	0	16	1.0
子夜	0	16	1.0
幽谷	0	16	1.0
折翅	0	16	1.0
吟诗	0	16	1.0
沁人	0	16	1.0
琥珀	0	16	1.0
江面	0	16	1.0
紫薇	0	16	1.0
踉跄	0	12	1.0
碧天	0	12	1.0
陌上花	0	12	1.0
芦丛	0	12	1.0
油画	0	12	1.0
轩窗	0	12	1.0
顾盼	0	12	1.0
爽心悦目	0	12	1.0
浅秋	0	12	1.0
巨龙	0	12	1.0
吊脚楼	0	12	1.0
东篱	0	12	1.0
苇	0	12	1.0
浮生如梦	0	12	1.0
居士	0	12	1.0
一群群	0	12	1.0
田垄	0	12	1.0
宋韵	0	12	1.0
馨	0	12	1.0
月照	0	12	1.0
冷凉	0	12	1.0
簇	0	12	1.0
内蕴	0	12	1.0
筝音	0	12	1.0
春种	0	12	1.0
笙歌	0	12	1.0
密密匝匝	0	12	1.0
清愁	0	12	1.0
流泻	0	12	1.0
山形	0	12	1.0
水泽	0	12	1.0
闪闪烁烁	0	12	1.0
孤寂者	0	12	1.0
哈达	0	12	1.0
行宫	0	12	1.0
大柳塔	0	12	1.0
撷	0	12	1.0
时过境迁	0	12	1.0
微醺	0	12	1.0
弥	0	12	1.0
舒爽	0	12	1.0
丁香花	0	12	1.0
朱砂	0	12	1.0
万木	0	12	1.0
怪石	0	12	1.0
青瓦	0	12	1.0
颔首	0	12	1.0
即兴	0	12	1.0
青梅	0	12	1.0
暖香	0	12	1.0
天涯路	0	12	1.0
默默无语	0	12	1.0
成殇	0	12	1.0
遮天蔽日	0	12	1.0
笼	0	12	1.0
晓风	0	12	1.0
漫延	0	12	1.0
修身	0	12	1.0
豆蔻	0	12	1.0
姿	0	12	1.0
嗟叹	0	12	1.0
春晓	0	12	1.0
水潭	0	12	1.0
底色	0	12	1.0
新叶	0	12	1.0
芊芊	0	12	1.0
裙角	0	12	1.0
踏歌	0	12	1.0
灰黄	0	12	1.0
甘霖	0	12	1.0
旋	0	12	1.0
叶脉	0	12	1.0
满径	0	12	1.0
柳色	0	12	1.0
倾国	0	12	1.0
风帆	0	12	1.0
飘逝	0	12	1.0
红妆	0	12	1.0
碧玉	0	12	1.0
明丽	0	12	1.0
死生契阔	0	12	1.0
飘飘欲仙	0	12	1.0
众里寻	0	12	1.0
庄重	0	12	1.0
南风	0	12	1.0
朔风	0	12	1.0
罗盘	0	12	1.0
蓬蓬勃勃	0	12	1.0
清露	0	12	1.0
昙花一现	0	12	1.0
甘冽	0	12	1.0
语还休	0	12	1.0
音律	0	12	1.0
寄奴	0	12	1.0
沙洲	0	12	1.0
秋凉	0	12	1.0
祈盼	0	12	1.0
归人	0	12	1.0
清涟	0	12	1.0
婀娜多姿	0	12	1.0
郁积	0	12	1.0
静守	0	12	1.0
房檐	0	12	1.0
襁褓	0	12	1.0
倦怠	0	12	1.0
迟暮	0	12	1.0
惺惺相惜	0	12	1.0
溃烂	0	12	1.0
锦瑟	0	12	1.0
胜境	0	12	1.0
微凉	0	12	1.0
画布	0	12	1.0
风华	0	12	1.0
断桥	0	12	1.0
恩恩怨怨	0	12	1.0
离散	0	12	1.0
石凳	0	12	1.0
奥秘	0	12	1.0
孤灯	0	12	1.0
雄健	0	12	1.0
旧日	0	12	1.0
婷婷	0	12	1.0
锦鲤	0	12	1.0
流觞	0	12	1.0
烟波浩渺	0	12	1.0
紫荆	0	12	1.0
麦穗	0	12	1.0
湮灭	0	12	1.0
孤雁	0	12	1.0
苍松翠柏	0	12	1.0
曲径通幽	0	12	1.0
一帘幽梦	0	12	1.0
结缘	0	12	1.0
木椅	0	12	1.0
长歌	0	12	1.0
刚毅	0	12	1.0
丰姿	0	12	1.0
帘卷	0	12	1.0
骤雨	0	12	1.0
触手	0	12	1.0
流溢	0	12	1.0
画意	0	12	1.0
滋长	0	12	1.0
龙舟	0	12	1.0
今昔	0	12	1.0
遨游	0	12	1.0
花前月	0	12	1.0
春姑娘	0	12	1.0
高高低	0	12	1.0
对望	0	12	1.0
琼浆	0	12	1.0
蜘蛛网	0	12	1.0
淡黄	0	12	1.0
窗儿	0	12	1.0
吐蕊	0	12	1.0
轻拂	0	12	1.0
梳妆	0	12	1.0
湘西	0	12	1.0
素净	0	12	1.0
泪如雨下	0	12	1.0
群星	0	12	1.0
光年	0	12	1.0
循环往复	0	12	1.0
凝香	0	12	1.0
朗月	0	12	1.0
心殇	0	12	1.0
漠漠	0	12	1.0
填词	0	12	1.0
欢腾	0	12	1.0
萦怀	0	12	1.0
明灭	0	12	1.0
临水	0	12	1.0
素年	0	12	1.0
裙摆	0	12	1.0
哗	0	12	1.0
醒间	0	12	1.0
映出	0	12	1.0
留痕	0	12	1.0
绸缎	0	12	1.0
山茶	0	12	1.0
衣裙	0	12	1.0
封存	0	12	1.0
紫藤花	0	12	1.0
无关风月	0	12	1.0
寒雨	0	12	1.0
红唇	0	12	1.0
紧缩	0	12	1.0
按捺不住	0	12	1.0
春朝	0	12	1.0
妥贴	0	12	1.0
讴歌	0	12	1.0
暗生	0	12	1.0
词句	0	12	1.0
婉如	0	12	1.0
梨花带雨	0	12	1.0
竹韵	0	12	1.0
清婉	0	12	1.0
影影绰绰	0	12	1.0
清澜	0	12	1.0
西窗	0	12	1.0
愁思	0	12	1.0
泡桐树	0	12	1.0
哀婉	0	12	1.0
唇齿相依	0	12	1.0
鬓角	0	12	1.0
湖心	0	12	1.0
晋	0	12	1.0
绕梁	0	12	1.0
抒怀	0	12	1.0
书签	0	12	1.0
冰清玉洁	0	12	1.0
海枯石烂	0	12	1.0
浊	0	12	1.0
豪情万丈	0	12	1.0
浅笑嫣然	0	12	1.0
未央	0	12	1.0
心静如水	0	12	1.0
清芬	0	12	1.0
促膝	0	12	1.0
传送	0	12	1.0
出征	0	12	1.0
相望	0	12	1.0
谢幕	0	12	1.0
春潮	0	12	1.0
逡巡	0	12	1.0
变淡	0	12	1.0
醉心	0	12	1.0
眷侣	0	12	1.0
高坡	0	12	1.0
岸畔	0	12	1.0
清颜	0	12	1.0
恍若	0	12	1.0
豪放	0	12	1.0
眸光	0	12	1.0
霜雪	0	12	1.0
暗夜	0	12	1.0
柔肠	0	12	1.0
暮然	0	12	1.0
悲秋	0	12	1.0
神清气爽	0	12	1.0
烟尘	0	12	1.0
旅人	0	12	1.0
败落	0	12	1.0
若水	0	12	1.0
帘幕	0	12	1.0
涅槃	0	12	1.0
雄壮	0	12	1.0
心花	0	12	1.0
迷藏	0	12	1.0
银白	0	12	1.0
蒹葭	0	12	1.0
漫无边际	0	12	1.0
催生	0	12	1.0
秀发	0	12	1.0
落英缤纷	0	12	1.0
碧草	0	12	1.0
独舞	0	12	1.0
溶溶	0	12	1.0
七夕夜	0	12	1.0
凌波仙子	0	12	1.0
松柏	0	12	1.0
笛声	0	12	1.0
素手	0	12	1.0
烈焰	0	12	1.0
冰川	0	12	1.0
寒梅	0	12	1.0
季风	0	12	1.0
白落梅	0	12	1.0
汹涌澎湃	0	12	1.0
泛舟	0	12	1.0
执手	0	12	1.0
重生	0	12	1.0
葱葱	0	12	1.0
假意	0	12	1.0
纤纤	0	12	1.0
律动	0	12	1.0
无需	0	12	1.0
清泪	0	12	1.0
河塘	0	12	1.0
热浪	0	12	1.0
血脉	0	12	1.0
安恬	0	12	1.0
幽	0	12	1.0
轻音乐	0	12	1.0
抒写	0	12	1.0
翩飞	0	12	1.0
杏花雨	0	12	1.0
若即若离	0	12	1.0
陽光	0	12	1.0
皓齿	0	12	1.0
盈袖	0	12	1.0
枝杈	0	12	1.0
慕	0	12	1.0
红烛	0	12	1.0
寒凉	0	12	1.0
横斜	0	12	1.0
隐现	0	12	1.0
聘婷	0	12	1.0
壮美	0	12	1.0
巧手	0	8	1.0
搏	0	8	1.0
雪般	0	8	1.0
四起	0	8	1.0
船舷	0	8	1.0
相携	0	8	1.0
橘红色	0	8	1.0
心音	0	8	1.0
护栏	0	8	1.0
淡绿	0	8	1.0
青青子	0	8	1.0
山尖	0	8	1.0
禁书	0	8	1.0
遗香	0	8	1.0
烟火气	0	8	1.0
相嵌	0	8	1.0
罂粟	0	8	1.0
直达	0	8	1.0
奉国寺	0	8	1.0
无拘束	0	8	1.0
行到水穷处	0	8	1.0
连绵不绝	0	8	1.0
巧笑倩兮	0	8	1.0
秋心	0	8	1.0
沁心	0	8	1.0
壮烈	0	8	1.0
激动人心	0	8	1.0
迭起	0	8	1.0
暗换	0	8	1.0
辩释	0	8	1.0
娴雅	0	8	1.0
花圃	0	8	1.0
何日	0	8	1.0
金戈铁马	0	8	1.0
哀歌	0	8	1.0
衔接	0	8	1.0
秦堰	0	8	1.0
惊涛	0	8	1.0
遥遥相守	0	8	1.0
仙凡	0	8	1.0
破茧成蝶	0	8	1.0
呼换	0	8	1.0
荡气回肠	0	8	1.0
心陌	0	8	1.0
水云	0	8	1.0
唇齿	0	8	1.0
时儿	0	8	1.0
瑟	0	8	1.0
银河落九天	0	8	1.0
巨岩	0	8	1.0
始知	0	8	1.0
远航	0	8	1.0
一帧帧	0	8	1.0
宋雨	0	8	1.0
小洲	0	8	1.0
月白风清	0	8	1.0
抛却	0	8	1.0
浮桥	0	8	1.0
飞瞬即逝	0	8	1.0
仙风	0	8	1.0
微雨	0	8	1.0
侵染	0	8	1.0
负载	0	8	1.0
妙用	0	8	1.0
工笔画	0	8	1.0
风烛残年	0	8	1.0
水巷	0	8	1.0
空寂	0	8	1.0
顷月色	0	8	1.0
纸笺	0	8	1.0
丰润	0	8	1.0
红尘陌	0	8	1.0
清水岩	0	8	1.0
雨雾	0	8	1.0
诗章	0	8	1.0
拙政园	0	8	1.0
清水若	0	8	1.0
枯槁	0	8	1.0
经纶	0	8	1.0
甜滋滋	0	8	1.0
烈火	0	8	1.0
入夜	0	8	1.0
匠心独运	0	8	1.0
问君	0	8	1.0
恬然	0	8	1.0
红线	0	8	1.0
锦	0	8	1.0
畅怀	0	8	1.0
盆花	0	8	1.0
印月	0	8	1.0
怆然	0	8	1.0
不可攀	0	8	1.0
采菊	0	8	1.0
潮起潮落	0	8	1.0
增光	0	8	1.0
花蜜	0	8	1.0
泉流	0	8	1.0
风干	0	8	1.0
清酒	0	8	1.0
霜水	0	8	1.0
陌陌	0	8	1.0
马头墙	0	8	1.0
蒹	0	8	1.0
名不虚传	0	8	1.0
丹唇	0	8	1.0
换盏	0	8	1.0
憾	0	8	1.0
石城	0	8	1.0
发丝	0	8	1.0
巍然屹立	0	8	1.0
千丝万缕	0	8	1.0
千枝攒万叶	0	8	1.0
山腰	0	8	1.0
煦风	0	8	1.0
橘子洲	0	8	1.0
灌浆	0	8	1.0
相随	0	8	1.0
眉角	0	8	1.0
手帕	0	8	1.0
经纬	0	8	1.0
春月	0	8	1.0
前夜	0	8	1.0
独树一帜	0	8	1.0
黄菊	0	8	1.0
灌丛	0	8	1.0
溅落	0	8	1.0
独一	0	8	1.0
自然凉	0	8	1.0
禅茶	0	8	1.0
凤城	0	8	1.0
相融	0	8	1.0
开花盛期	0	8	1.0
猝然不及	0	8	1.0
艰涩	0	8	1.0
刚柔并济	0	8	1.0
秧田	0	8	1.0
月明	0	8	1.0
白日	0	8	1.0
香透	0	8	1.0
划桨	0	8	1.0
羽衣	0	8	1.0
饱览	0	8	1.0
冰冻	0	8	1.0
浅描素	0	8	1.0
节复一节	0	8	1.0
花开花	0	8	1.0
并行	0	8	1.0
热力	0	8	1.0
情非	0	8	1.0
迷醉	0	8	1.0
青瓦房	0	8	1.0
缘定	0	8	1.0
潇潇洒洒	0	8	1.0
凝睇	0	8	1.0
喟叹	0	8	1.0
比作	0	8	1.0
酿	0	8	1.0
咸涩	0	8	1.0
醇厚	0	8	1.0
凝冰	0	8	1.0
隐退	0	8	1.0
清清的	0	8	1.0
暗色	0	8	1.0
推杯	0	8	1.0
樱树	0	8	1.0
震憾	0	8	1.0
沮叹	0	8	1.0
无穷碧	0	8	1.0
莽莽	0	8	1.0
无言独	0	8	1.0
熙攘	0	8	1.0
晨昏	0	8	1.0
瓜棚	0	8	1.0
光秃	0	8	1.0
荷西	0	8	1.0
红泥	0	8	1.0
深深处	0	8	1.0
骚客	0	8	1.0
壮阔	0	8	1.0
折枝	0	8	1.0
冬风	0	8	1.0
异客	0	8	1.0
芦花荡	0	8	1.0
孤芳	0	8	1.0
纷扬	0	8	1.0
轻荡	0	8	1.0
囚禁	0	8	1.0
心驰	0	8	1.0
如云烟	0	8	1.0
低廉	0	8	1.0
惊不扰	0	8	1.0
煤海	0	8	1.0
文弱	0	8	1.0
华贵	0	8	1.0
池岸	0	8	1.0
双宿	0	8	1.0
淅沥沥	0	8	1.0
浅行	0	8	1.0
惧风	0	8	1.0
摇荡	0	8	1.0
衣带	0	8	1.0
风流转	0	8	1.0
添彩	0	8	1.0
竹风	0	8	1.0
隙	0	8	1.0
微尘	0	8	1.0
粉墨	0	8	1.0
潇湘	0	8	1.0
空山	0	8	1.0
蝉声	0	8	1.0
山凹	0	8	1.0
阴云	0	8	1.0
凸现	0	8	1.0
头巾	0	8	1.0
陆小曼	0	8	1.0
落花梦	0	8	1.0
逸	0	8	1.0
葬身	0	8	1.0
书卷	0	8	1.0
纵算	0	8	1.0
阴晴	0	8	1.0
解药	0	8	1.0
闷雷	0	8	1.0
莫待	0	8	1.0
逐	0	8	1.0
茕茕	0	8	1.0
鸟鸣声	0	8	1.0
世味	0	8	1.0
自鸣	0	8	1.0
郎朗	0	8	1.0
一沓沓	0	8	1.0
沉落	0	8	1.0
畅谈	0	8	1.0
一栋栋	0	8	1.0
洗濯	0	8	1.0
绿波	0	8	1.0
泪湿	0	8	1.0
超然物	0	8	1.0
伊始	0	8	1.0
雪后	0	8	1.0
清秋	0	8	1.0
梦远	0	8	1.0
梵音	0	8	1.0
蛙鸣	0	8	1.0
湛湛	0	8	1.0
秋光	0	8	1.0
出尘	0	8	1.0
晃晃	0	8	1.0
窗花	0	8	1.0
枕水	0	8	1.0
全方位	0	8	1.0
翻埋	0	8	1.0
大叶	0	8	1.0
雅韵	0	8	1.0
青瓷	0	8	1.0
山楂	0	8	1.0
吸吮	0	8	1.0
颐庵	0	8	1.0
盛花期	0	8	1.0
风撩	0	8	1.0
木扎特	0	8	1.0
描摹	0	8	1.0
河蚌	0	8	1.0
飞流直下三千	0	8	1.0
出浴	0	8	1.0
禅香	0	8	1.0
扇动	0	8	1.0
烟笼	0	8	1.0
骨碌	0	8	1.0
迷迷蒙蒙	0	8	1.0
粉黛	0	8	1.0
轻歌曼舞	0	8	1.0
豁然	0	8	1.0
悠然见南山	0	8	1.0
葭	0	8	1.0
盛唐	0	8	1.0
转年	0	8	1.0
玉露	0	8	1.0
风貌	0	8	1.0
闲书	0	8	1.0
梅开	0	8	1.0
立时	0	8	1.0
谢桥	0	8	1.0
成秋	0	8	1.0
雨巷	0	8	1.0
宫商	0	8	1.0
尘沙	0	8	1.0
盘盘	0	8	1.0
透视	0	8	1.0
鼓胀	0	8	1.0
微微暗	0	8	1.0
佛光	0	8	1.0
雷声	0	8	1.0
鸿渡	0	8	1.0
疏星	0	8	1.0
盅	0	8	1.0
善应	0	8	1.0
乔装	0	8	1.0
眼馋	0	8	1.0
野雁	0	8	1.0
空谷	0	8	1.0
缘浅	0	8	1.0
飞絮	0	8	1.0
离恨	0	8	1.0
肚肠	0	8	1.0
自古逢秋	0	8	1.0
花影	0	8	1.0
晓月	0	8	1.0
梯田	0	8	1.0
日升月	0	8	1.0
造次	0	8	1.0
片面	0	8	1.0
末梢	0	8	1.0
风物	0	8	1.0
匆然	0	8	1.0
光阴荏苒	0	8	1.0
船儿	0	8	1.0
月复一月	0	8	1.0
殷殷	0	8	1.0
落迫	0	8	1.0
如莲	0	8	1.0
船只	0	8	1.0
几近	0	8	1.0
灼灼其华	0	8	1.0
风寒	0	8	1.0
光束	0	8	1.0
早明	0	8	1.0
歌颂	0	8	1.0
笨笨	0	8	1.0
黄花遍	0	8	1.0
蟾宫	0	8	1.0
渺渺	0	8	1.0
流水马如龙	0	8	1.0
土砌	0	8	1.0
落心	0	8	1.0
水一方	0	8	1.0
恩泽	0	8	1.0
水火	0	8	1.0
金风	0	8	1.0
宛转	0	8	1.0
轻尘	0	8	1.0
战袍	0	8	1.0
追名逐利	0	8	1.0
画竹	0	8	1.0
水于峰	0	8	1.0
恩恩爱爱	0	8	1.0
泰戈尔	0	8	1.0
禅音	0	8	1.0
角羽	0	8	1.0
一醉方休	0	8	1.0
柳叶	0	8	1.0
地久	0	8	1.0
曲曲转转	0	8	1.0
泥水	0	8	1.0
碾压	0	8	1.0
时钟	0	8	1.0
绿茸茸	0	8	1.0
思忆	0	8	1.0
茗	0	8	1.0
沧州海	0	8	1.0
作别	0	8	1.0
叠翠	0	8	1.0
顷刻湖	0	8	1.0
随处	0	8	1.0
微寒	0	8	1.0
归处	0	8	1.0
细密	0	8	1.0
渡桥	0	8	1.0
梧桐花	0	8	1.0
戴望舒	0	8	1.0
伤神	0	8	1.0
蹁跹	0	8	1.0
悠悠词	0	8	1.0
醇	0	8	1.0
空茫	0	8	1.0
写真	0	8	1.0
峨眉	0	8	1.0
吟浅	0	8	1.0
香草	0	8	1.0
物事人	0	8	1.0
雨过天晴	0	8	1.0
蝶舞	0	8	1.0
造物主	0	8	1.0
败寇	0	8	1.0
茶靡花	0	8	1.0
夷	0	8	1.0
迸	0	8	1.0
羁旅	0	8	1.0
酷似	0	8	1.0
平仄	0	8	1.0
蓓蕾	0	8	1.0
片语	0	8	1.0
花木	0	8	1.0
到头尽	0	8	1.0
浅浅遇	0	8	1.0
断肠	0	8	1.0
素朴	0	8	1.0
死寂	0	8	1.0
恒星	0	8	1.0
鬼雄	0	8	1.0
纤弱	0	8	1.0
搂抱	0	8	1.0
南端	0	8	1.0
柔柔的	0	8	1.0
生机盎然	0	8	1.0
黯夜	0	8	1.0
流趟	0	8	1.0
哗啦哗啦	0	8	1.0
飞泉数点	0	8	1.0
终了	0	8	1.0
花叶	0	8	1.0
俯长	0	8	1.0
桨	0	8	1.0
佳酿	0	8	1.0
泛红	0	8	1.0
韭菜沟	0	8	1.0
各样	0	8	1.0
静听花	0	8	1.0
呆板	0	8	1.0
理喻	0	8	1.0
顾草木	0	8	1.0
静赏	0	8	1.0
鳞次栉比	0	8	1.0
饮用	0	8	1.0
冬情	0	8	1.0
光彩照人	0	8	1.0
韵脚	0	8	1.0
羽化	0	8	1.0
昔	0	8	1.0
名句	0	8	1.0
花杆	0	8	1.0
金粉	0	8	1.0
凉棚	0	8	1.0
油菜花儿	0	8	1.0
心上宛	0	8	1.0
寒月	0	8	1.0
折翼	0	8	1.0
酥软	0	8	1.0
相思情	0	8	1.0
悲歌	0	8	1.0
陶情玉	0	8	1.0
春阳	0	8	1.0
秋景	0	8	1.0
黄云题暮	0	8	1.0
情致	0	8	1.0
老天荒	0	8	1.0
断肠处	0	8	1.0
东岸	0	8	1.0
唇	0	8	1.0
销声匿迹	0	8	1.0
妖空	0	8	1.0
丑态	0	8	1.0
航船	0	8	1.0
乌兰木伦河	0	8	1.0
素雪	0	8	1.0
喧哗声	0	8	1.0
采菊东篱下	0	8	1.0
不可及	0	8	1.0
残霞	0	8	1.0
布谷鸟	0	8	1.0
切换	0	8	1.0
打眼	0	8	1.0
开落	0	8	1.0
嗅觉	0	8	1.0
花穗	0	8	1.0
零零碎碎	0	8	1.0
淬炼	0	8	1.0
瞥见	0	8	1.0
兰亭序	0	8	1.0
午门	0	8	1.0
浓妆淡抹	0	8	1.0
浊酒	0	8	1.0
杨玉环	0	8	1.0
战斗性	0	8	1.0
唇角	0	8	1.0
是是非非	0	8	1.0
