HGJ_level_1.1_Word	HGJ_level_1.2_Word	HGJ_level_1.3_Word	HGJ_level_2_Word	HGJ_level_3_Word	HGJ_level_4_Word		
好玩儿	读书	当中	别	辩护	乘人之危		
号	度	导演	宾馆	辩解	惩处		
喝	短	到底	冰	标	秤		
和	短处	得出	冰箱	标本	吃喝玩乐		
黑	短信	得分	冰雪	标签	痴呆		
很	段	得意	兵	标语	痴迷		
后	断	等待	病毒	表决	池塘		
后边	队	等到	病房	表述	迟疑		
后面	队员	地	病情	表态	持之以恒		
花	队长	地球	拨打	表彰	耻笑		
坏	对话	地区	波动	憋	冲浪		
还	对面	地铁站	波浪	别墅	冲撞		
回	顿	电视剧	玻璃	别说	充沛		
回答	多	电视台	播	别提了	重合		
回到	多么	电台	博客	别致	稠		
回家	而且	电子邮件	博览会	别扭	稠密		
回来	发	调	博士	冰棍儿	愁眉苦脸		
回去	发现	调查	博物馆	丙	筹措		
会	发展	定期	薄弱	饼	瞅		
活	方法	东北	不便	饼干	出厂		
活动	方面	东部	不顾	并非	出风头		
火	放心	东方	不见	并购	出具		
火车	放学	东南	不利	并列	出口成章		
机场	放在	懂得	不料	病床	出毛病		
机票	分	动力	不耐烦	病症	出难题		
鸡	分数	动人	不幸	拨	出人意料		
鸡蛋	分钟	动作	不要紧	拨款	出山		
几	份	读者	不易	拨通	出血		
记	风	短期	不再	波及	出演		
记得	封	对待	不在乎	波涛	出洋相		
记住	服务	对方	不至于	波折	出游		
家	父母	对手	补偿	剥夺	出主意		
家里	负责	对象	补考	剥削	触觉		
假	复印	对于	补课	伯伯	触目惊心		
间	改	多久	补贴	驳回	揣		
见	改变	多数	补习	脖子	揣测		
见面	干杯	发表	补助	搏斗	揣摩		
教	赶紧	发出	捕	不大不小	踹		
叫	赶快	发达	不曾	不定	川流不息		
姐姐	敢	发动	不成	不见得	穿小鞋儿		
姐	感到	发明	不得了	不利于	船舶		
借	感动	发生	不敢当	不慎	喘息		
今年	感觉	发送	不禁	不适	吹牛		
今天	感谢	发言	不仅仅	不算	垂头丧气		
进	干活儿	法院	不良	不像话	捶		
进来	干吗	反对	不免	不屑	纯朴		
进去	高级	反复	不能不	不懈	戳		
九	高中	反应	不然	不用说	绰号		
酒	告诉	反正	不时	补给	辞呈		
酒店	各	范围	不停	补救	辞退		
就	各地	方式	不通	捕捉	磁盘		
觉得	各种	防	不许	哺育	此起彼伏		
开	工厂	防止	不怎么	不得已	伺候		
开车	工程师	房屋	不值	不妨	刺耳		
开会	工资	访问	不止	不服	刺骨		
开玩笑	公共汽车	放下	不足	不服气	刺绣		
看	公交车	飞行	布满	不解	赐教		
看病	公斤	非法	布置	不经意	从今以后		
看到	公里	费	步行	不景气	从容不迫		
看见	公路	费用	部队	不堪	粗略		
可能	公平	分别	部位	不可避免	簇拥		
可是	公司	分开	擦	不肯	催眠		
可以	公用电话	分配	猜	不理	存心		
渴	公园	分之	猜测	不难	措手不及		
课	够	丰富	才	不平	错觉		
课本	姑娘	风险	材料	不容	错位		
课文	故事	否定	财产	不惜	错综复杂		
口	故意	否认	财富	不宜	打岔		
块	顾客	夫人	裁判	不已	打盹儿		
快	挂	服装	采访	不得已	打搅		
来	关上	福	采购	不予	打猎		
老	关系	父亲	采纳	不怎么样	打磨		
老人	关心	复杂	彩电	不知	大包大揽		
老师	关于	富	彩票	不准	大笔		
了	观点	改进	踩	布局	大臣		
累	观众	改造	参考	步伐	大大咧咧		
冷	管	概念	参赛	步入	大公无私		
里	管理	赶	参与	步骤	大锅饭		
里边	广播	赶到	参展	部件	大家庭		
里面	广场	感情	餐	部署	大惊小怪		
两	广告	感受	餐馆	猜想	大模大样		
零	规定	高度	餐厅	才华	大体		
六	国际	高速	餐饮	财经	大同小异		
楼	国内	高速公路	残疾	财力	大腕儿		
路	国外	搞	残疾人	财务	大雁		
路口	过年	搞好	残酷	财物	大有可为		
路上	过去	告别	惨	财政	大宗		
妈	过去	歌迷	仓库	裁	逮		
妈妈	海	歌声	藏	裁决	带头人		
马	害怕	歌手	操场	采	单薄		
马路	喊	个人	操纵	采集	耽搁		
马上	好多	个性	操作	彩虹	诞辰		
吗	好久	各位	草原	彩霞	当务之急		
买	好像	各自	册	菜市场	当之无愧		
慢	合格	根本	厕所	参谋	当众		
忙	合适	根本	侧	参照	当真		
没	和平	根据	测	餐桌	荡漾		
没关系	河	更加	测定	残	导火索		
没什么	黑板	工夫	测量	残留	到头来		
没用	红	工具	测试	残忍	得不偿失		
没有	红茶	工业	策划	惭愧	得当		
门	后来	公布	策略	惨重	得力		
门口	后天	公共	层次	灿烂	得失		
朋友们	忽然	公开	层面	苍蝇	得手		
们	湖	公民	曾	舱	得体		
面包	互相	公务员	叉	藏品	得天独厚		
名字	护士	功夫	叉子	操控	得意洋洋		
明白	护照	功课	差别	操心	蹬		
明年	花	功能	差距	草案	堤坝		
明天	花	共同	差异	草坪	提防		
拿	花园	共有	插	侧面	抵触		
哪	划船	古	茶叶	侧重	抵挡		
哪里	华人	古代	查出	测算	抵消		
哪儿	画	故乡	查看	测验	底子		
那	画儿	关机	查询	差错	第一手		
那里	欢迎	关注	差（一）点儿	插图	第一线		
那么	环	观察	拆	插嘴	巅峰		
那儿	环境	观看	拆除	茶馆儿	点击率		
那些	换	观念	拆迁	查处	电讯		
那样	黄	光	产品	查明	垫底儿		
奶	回	光	产物	查找	垫子		
男	或者	光明	产业	察觉	刁难		
男孩儿	机会	广大	昌盛	察看	掉队		
男朋友	基础	规范	长度	缠	爹		
男生	及时	规模	长短	产	迭起		
南	级	国庆	长假	产地	定时		
南边	极了	国王	长久	产值	定向		
难	急	果然	长跑	铲	定心丸		
呢	计划	过程	长寿	铲子	丢弃		
能	计算机	哈哈	长途	阐述	东奔西走		
你	继续	海关	长远	颤抖	栋梁		
你们	寄	行	肠	长达	兜售		
年	加	好	尝	长期以来	独立自主		
牛	加入	好处	尝试	长征	独一无二		
牛奶	加上	好人	常规	常人	队形		
努力	加油	好事	常年	偿还	对白		
女	家人	好奇	常识	敞开	对弈		
女儿	家庭	合	厂商	畅销	对峙		
女孩儿	家乡	合法	厂长	倡议	敦厚		
女朋友	价格	合理	场地	抄袭	炖		
女生	坚持	合作	场馆	钞票	多功能		
怕	检查	黑人	场景	超标	多劳多得		
旁边	简单	黑色	场面	超车	哆嗦		
跑	见到	红酒	畅通	超前	夺冠		
朋友	见过	红色	倡导	超速	舵手		
票	件	后果	唱片	朝着	讹诈		
平安	建议	互联网	抄	嘲笑	厄运		
七	健康	华语	抄写	车道	恶梦		
起	将来	现代化	超	车祸	鳄鱼		
起来	讲	化	超出	车间	恩赐		
汽车	讲话	画家	超越	车轮	恩惠		
前	交	话	潮	车速	恩怨		
前边	交费	话剧	潮流	车位	耳目一新		
前面	交给	话题	潮湿	车厢	耳熟能详		
钱	交通	坏处	吵	车型	耳闻目睹		
钱包	角	坏人	吵架	车轴	发愤图强		
请	饺子	欢乐	炒	扯	发愣		
请假	脚	环保	炒股	撤	发扬光大		
请进	叫	黄色	炒作	沉淀	发源地		
请问	叫做	会	车号	沉浸	翻番		
请坐	教师	会谈	车牌	沉迷	翻天覆地		
球	教室	会议	车展	沉思	烦闷		
去	教学	会员	车子	沉着	反问		
去年	教育	或	彻底	陈旧	犯愁		
全	接	机器	撤离	陈列	方方面面		
然后	接到	积极	撤销	陈述	防火墙		
让	接受	基本	沉	衬衫	防汛		
热	接下来	基本上	沉默	衬托	防疫		
人	接着	集体	沉重	趁	妨害		
认识	街	集中	衬衣	趁机	房地产		
认为	节	计算	称号	趁早	仿制		
认真	节目	记录	称赞	趁着	放水		
日	节日	记者	撑	称呼	放肆		
日期	节约	纪录	成	称作	绯闻		
肉	结果	纪念	成本	成年	诽谤		
三	结婚	技术	成分、成份	成年	废寝忘食		
山	结束	加工	成交	成年人	沸沸扬扬		
上	介绍	加快	成品	成天	分寸		
上	斤	加强	成人	成问题	分赃		
上班	紧张	科学家	成效	呈现	分支		
上边	进步	家具	成语	诚恳	焚烧		
上车	进入	家属	诚实	诚意	份额		
上次	进行	假如	诚信	承包	奋勇		
上课	近	价钱	承办	承载	丰盛		
上来	京剧	价值	承担	城墙	丰硕		
上面	经常	架	承诺	盛	风餐露宿		
上去	经过	架	承受	惩罚	风风雨雨		
上网	经理	假期	城里	澄清	风和日丽		
上午	经验	坚决	城区	橙汁	风流		
少	精彩	坚强	城乡	逞能	风水		
谁	精神	简直	城镇	逞强	封顶		
身上	警察	建	乘	吃不上	峰回路转		
身体	静	建成	乘车	吃苦	缝合		
什么	旧	建立	乘客	吃亏	孵化		
生活	救	建设	乘坐	痴心	敷		
生气	就是	将	程序	驰名	浮力		
生日	就要	将	吃惊	迟迟	抚养费		
十	举	将近	吃力	迟早	腐蚀		
时候	举手	交警	池子	持	负有		
时间	举行	交流	迟	持久	附带		
事	句	交往	迟到	尺度	附和		
是	句子	交易	持有	耻辱	复查		
是不是	决定	角	尺	赤字	复原		
手	卡	角度	尺寸	翅膀	富含		
手机	开始	较	尺子	冲刺	富足		
书	开心	教练	冲动	冲洗	改版		
书包	看法	教学楼	冲击	充	改名		
书店	看来	结实	冲突	充当	改日		
树	考	接待	充电	充实	改邪归正		
水	考试	接近	充电器	重播	概论		
水果	靠	节假日	充分	重叠	尴尬		
睡	科	结合	充足	重返	敢情		
睡觉	科学	解决	虫子	重申	感染力		
说	可爱	解开	重建	重现	感性		
说话	可怕	今后	重组	崇高	刚毅		
死	克	金	崇拜	崇尚	高跟鞋		
四	刻	金牌	宠物	宠	高价		
送	客人	仅	冲	宠爱	高新技术		
岁	课堂	仅仅	抽	抽签	搞鬼		
所以	肯定	尽量	抽出	抽屉	告辞		
他	空气	紧	抽奖	抽象	告示		
他们	空调	紧急	抽烟	仇	告状		
她	哭	进口	愁	仇恨	搁浅		
她们	苦	进口	丑	仇人	歌咏		
太	快餐	进一步	臭	筹	格格不入		
天	快乐	进展	出版	筹办	隔阂		
天气	快要	近期	出差	筹备	各奔前程		
听	筷子	京戏	出场	筹划	根基		
听见	困难	经济	出动	筹集	根深蒂固		
听说	拉	经历	出访	筹码	根治		
同学	来到	经营	出汗	丑恶	更衣室		
同意	蓝	精神	出路	丑陋	耿直		
外	篮球	景色	出面	丑闻	弓		
外边	浪费	久	出名	出版社	公费		
外国	劳动	就业	出入	出丑	公开信		
外面	老	举办	出色	出道	公墓		
外语	老板	具体	出事	出发点	公益性		
完	离	具有	出售	出境	公职		
玩儿	离开	剧场	出台	出局	功底		
晚	礼物	据说	出席	出卖	功力		
晚安	里头	决赛	出行	出任	攻读		
晚饭	理想	决心	出于	出身	供不应求		
晚上	理由	绝对	初等	出示	恭维		
网上	历史	军队	初期	出手	共同体		
忘	立刻	军人	除	出头	供奉		
忘记	利用	开发	除非	出土	勾画		
为了	例如	开放	除夕	出息	够呛		
为什么	例子	开机	厨房	出众	沽名钓誉		
问	连	开学	厨师	出资	孤陋寡闻		
我	联系	开业	处罚	出自	古董		
我们	脸	开展	处分	出走	古今中外		
五	练	看上去	处于	初次	古朴		
午饭	练习	考察	处在	初衷	股民		
西	凉	考生	存储	除此之外	骨气		
西边	凉快	考验	处	除去	鼓动		
洗	量	科技	处处	除外	顾全大局		
洗手间	两	科研	处长	处方	瓜分		
喜欢	亮	可靠	穿上	处境	挂历		
下	辆	克服	传出	处置	挂念		
下	了解	刻	传达	储备	挂失		
下班	另外	客观	传递	储蓄	乖巧		
下边	留	课程	传媒	触动	拐杖		
下车	留下	空	传输	触犯	怪异		
下次	留学生	空儿	传统	触摸	观感		
下课	流	快递	传言	穿过	棺材		
下来	流利	困	传真	穿越	管教		
下面	流行	来自	船员	穿着	光缆		
下去	楼上	蓝色	船长	传承	光明磊落		
下午	楼下	老	船只	传奇	光泽		
先	旅客	老王	串	传染病	归根到底		
先生	旅行	老百姓	窗户	传染病	归属		
现在	旅游	老年	窗口	传人	归宿		
想	绿	老是	闯	传授	闺女		
向	绿茶	老太太	创办	传闻	轨迹		
小	乱	老头儿	创建	船桨	国学		
小孩儿	麻烦	乐	创立	喘	过道		
小姐	卖	乐观	创意	串门儿	过奖		
小朋友	满	类	春季	创伤	过往		
小时	满意	类似	纯	窗帘	过意不去		
小学	毛	离婚	纯净水	窗台	海量		
小学生	毛病	理解	词汇	床位	海绵		
笑	没事儿	理论	词语	创	海藻		
写	每	力	词典	创始人	骇人听闻		
谢谢	美元	力量	辞典	吹了	害臊		
新	妹	连忙	此	吹捧	酣畅		
新年	妹妹	连续	此处	垂	酣睡		
星期	门票	连续剧	此次	锤子	含糊		
星期日	米	联合	此后	纯粹	涵义		
星期天	米	联合国	此刻	纯洁	捍卫		
行	米饭	领	此前	醇厚	焊		
休息	面	领导	此时	蠢	航海		
学	面条儿	领先	此事	瓷	好家伙		
学生	明星	另一方面	此外	瓷器	好说		
学习	目标	留学	此致	辞	耗时		
学院	目的	龙	次	辞去	禾苗		
要	哪些	录	次数	慈善	合情合理		
也	那边	录音	刺	慈祥	合作社		
一	那时候、那时	路线	刺激	磁带	和蔼		
衣服	奶奶	绿色	聪明	磁卡	和睦		
医生	男人	落后	从不	次日	和平共处		
医院	难道	满足	从此	赐	河畔		
一半	难过	毛	从而	匆匆	贺电		
一会儿	难受	媒体	从没	匆忙	贺信		
一块儿	脑子	每	从中	葱	赫然		
一下儿	能力	美	粗	从来不	鹤立鸡群		
一样	年代	美好	粗心	从容	黑马		
以后	年级	美术	促进	从头	黑手		
以前	年纪	迷	促使	从未	黑心		
一边	年轻	面	促销	从业	横七竖八		
一点儿	念	面对	醋	从早到晚	烘托		
一起	鸟	面积	脆	丛林	红扑扑		
一些	您	面前	村庄	凑	红润		
因为	农村	民间	寸	凑合	红眼		
应该	农民	民主	措施	凑巧	洪亮		
用	弄	民族	错过	粗暴	后备箱		
有	女人	名	搭	粗糙	后盾		
有的	暖和	名称	搭档	粗鲁	后顾之忧		
有名	爬	名单	搭配	粗心大意	后裔		
有时	爬山	明确	达成	促成	呼风唤雨		
有时候	拍	明显	答	窜	呼救		
有点儿	排	命运	答案	催	呼应		
有一点儿	排队	某	答复	催促	忽高忽低		
有些	排球	母亲	打	摧毁	胡说		
有一些	牌	目前	打败	脆弱	胡思乱想		
有用	牌子	那	打扮	翠绿	湖泊		
又	碰	那会儿	打包	存放	互访		
远	碰到	男子	打动	存折	户外		
月	碰见	南部	打断	搓	花卉		
再	批评	南方	打发	磋商	哗变		
再见	皮鞋	难度	打击	挫折	哗然		
在	篇	内	打架	错别字	滑稽		
在家	便宜	内容	打雷	搭乘	滑梯		
早	片	内心	打牌	搭建	化身		
早饭	漂亮	能够	打扰	达标	化纤		
早上	平	年初	打扫	答辩	化险为夷		
怎么	平常	年底	打印机	打倒	划时代		
怎么样	平等	农业	打造	打官司	画册		
站	平时	女士	打折	打交道	画龙点睛		
长	瓶	女子	打针	打捞	画蛇添足		
找	瓶子	怕	大巴	打量	怀旧		
找到	破	排	大胆	打通	槐树		
这	普通	排名	大道	打仗	欢聚		
这里	普通话	派	大都	打招呼	欢声笑语		
这么	期	判断	大队	大吃一惊	环球		
这儿	其它	配	大多	大地	幻影		
这些	其他	配合	大方	大幅度	换言之		
这样	其中	批准	大纲	大街小巷	焕发		
着	奇怪	皮	大哥	大局	荒诞		
真	骑	皮包	大海	大款	皇室		
真的	骑车	评价	大会	大面积	恍然大悟		
正	起床	破坏	大伙儿	大名鼎鼎	谎话		
正在	千	普遍	大奖赛	大棚	晃荡		
知道	前天	普及	大街	大片	回首		
中	强	齐	大力	大气	回乡		
中国	墙	其次	大楼	大厦	回忆录		
中间	桥	其实	大陆	大肆	汇合		
中文	青年	起飞	大门	大体上	会意		
中午	轻	气	大米	大选	会诊		
中学	清楚	气	大脑	大爷	绘声绘色		
中学生	情况	气候	大批	大意	婚纱		
重	请客	气温	大赛	大意	混凝土		
重要	请求	千万	大师	歹徒	豁		
住	庆祝	前后	大使	代号	豁出去		
桌子	秋天	前进	大使馆	代理人	活该		
字	求	前往	大事	代言人	活期		
刀子	球场	强大	大厅	带队	火候		
子	球队	强调	大型	带路	火辣辣		
走	球鞋	强烈	大熊猫	带头	火速		
走路	取	亲	大于	待	伙食		
最	取得	亲切	大致	怠工	祸害		
最好	全部	亲人	呆	怠慢	霍乱		
最后	全身	亲自	待	逮捕	豁达		
昨天	全体	青少年	待会儿	担	几率		
坐	缺点	情感	代价	担当	讥笑		
坐下	确实	请教	代理	担负	积淀		
做	热烈	球迷	代替	单边	激素		
	热情	区	带有	单方面	急迫		
	人民	区别	贷款	单身	急性		
	人民币	取消	待遇	耽误	急转弯		
	人数	去世	袋	胆怯	棘手		
	日子	全场	戴	胆子	集装箱		
	容易	全国	担保	但愿	嫉妒		
	如果	全家	担任	担	计策		
	入口	全面	担心	担子	计时		
	沙发	全年	担忧	淡化	记忆犹新		
	商场	全球	单	淡季	纪实		
	商店	缺	单纯	蛋白质	忌讳		
	商量	缺少	单打	当即	继父		
	上学	确保	单调	当今	继母		
	上周	确定	单独	当面	祭奠		
	少数	群	单一	当日	祭祀		
	社会	群众	单元	当事人	家家户户		
	深	热爱	胆	当下	家境		
	什么样	人材	胆小	当心	家喻户晓		
	生	人才	诞生	当着	嘉年华		
	生病	人工	淡	当晚	价位		
	声音	人家	蛋糕	档次	驾驭		
	省	人口	当场	导弹	架势		
	省	人类	当代	导航	嫁妆		
	胜利	人们	当年	导师	坚持不懈		
	失去	人生	当前	导向	坚韧		
	石头	人物	当选	岛屿	艰苦奋斗		
	时期	人员	挡	捣乱	艰险		
	实际	认可	党	倒卖	兼容		
	实习	任	当	倒霉	减压		
	实现	任	当成	倒塌	见钱眼开		
	实在	任何	当天	倒下	见仁见智		
	实在	任务	当做	到位	见外		
	食物	仍	档	倒计时	见义勇为		
	使用	仍然	档案	倒数	间谍		
	世界	日报	导游	盗	建树		
	市	日常	导致	盗窃	鉴赏		
	市长	如何	岛	悼念	僵化		
	事情	入门	倒闭	道具	讲学		
	事业	沙子	倒车	稻草	交锋		
	试	伤	到来	得益于	交集		
	适合	伤心	到期	得知	交界		
	收	商品	倒车	得罪	交情		
	收到	商人	倒是	德	交头接耳		
	收费	商业	盗版	灯笼	郊游		
	收入	上街	道德	灯泡	胶片		
	手表	上升	道教	登机	焦距		
	受到	少年	道歉	登陆	焦躁		
	受伤	设备	得了	凳子	礁石		
	书架	设计	得以	瞪	嚼		
	舒服	设立	德语	低调	绞		
	输	身份证	得	低估	矫正		
	熟	深刻	灯光	低谷	叫板		
	属于	深入	登	低价	教条		
	数	升	登机	低迷	教养		
	双	生	登录	低碳	阶梯		
	水平	生产	登山	低下	接班		
	睡着	生存	等候	堤	接二连三		
	顺利	生动	等级	笛子	接济		
	说明	生命	低头	抵押	节气		
	司机	生意	低温	抵御	节衣缩食		
	送到	生长	低于	抵制	洁净		
	送给	声明	滴	底层	截然不同		
	算	胜	的确	底线	竭尽全力		
	虽然	十分	敌人	底蕴	解雇		
	随便	石油	抵达	地步	解析		
	随时	时	抵抗	地道	介于		
	所有	时代	底	地道	戒备		
	它	时刻	地板	地段	界定		
	它们	实际上	地带	地理	界线		
	太太	实力	地方	地毯	金字塔		
	太阳	实行	地面	地下水	津津有味		
	态度	实验	地名	地狱	紧凑		
	谈	实验室	地位	地域	进修		
	汤	食品	地下	地质	近视		
	糖	使	地下室	弟子	劲头		
	讨论	始终	地形	帝国	茎		
	套	世纪	地震	帝国主义	经度		
	特别	世界杯	地址	递交	经久不息		
	特点	市场	递	颠倒	荆棘		
	疼	事故	递给	颠覆	惊诧		
	提	事件	典礼	典范	惊慌失措		
	提出	事实	典型	点火	惊天动地		
	提到	事实上	点名	点评	惊心动魄		
	提高	试验	点燃	点心	兢兢业业		
	题	适应	点钟	点缀	精打细算		
	体育	适用	电报	点子	精简		
	体育场	室	电车	电动车	精炼		
	体育馆	收看	电池	电铃	精妙		
	天上	收听	电灯	电网	精疲力竭		
	条	收音机	电动	电线	精益求精		
	条件	手续	电饭锅	电信	警钟		
	调	手指	电力	垫	竞相		
	跳	首先	电器	淀粉	竟敢		
	跳舞	受	电梯	惦记	敬而远之		
	听到	输入	电源	奠定	敬酒		
	停	熟人	电子版	殿堂	敬请		
	停车	属	店	叼	敬重		
	停车场	束	吊	雕	境遇		
	停止	树林	调动	雕刻	窘迫		
	挺	数量	调研	雕塑	揪		
	挺好	数字	跌	吊销	久违		
	通	双方	顶	钓鱼	久仰		
	通过	思想	订	调度	居高临下		
	通知	速度	定位	掉头	鞠躬		
	同时	随	丢	叠	举世闻名		
	同事	所	冬季	丁	举世无双		
	同样	所长	动画	叮嘱	举世瞩目		
	头	台	动画片	盯	举一反三		
	木头	谈话	动机	钉子	剧情		
	突然	谈判	动手	顶	锯		
	图书馆	特色	动态	顶多	聚精会神		
	推	提前	动物园	顶级	诀别		
	腿	提问	动摇	顶尖	诀窍		
	退休	体会	动员	订单	角逐		
	外国人	体现	冻	订购	觉醒		
	完成	体验	洞	订婚	绝技		
	完全	天空	斗争	订立	绝缘		
	晚会	调整	豆腐	钉	骏马		
	碗	跳高	豆制品	定价	开场白		
	万	跳远	都会	定金	开天辟地		
	网	铁	都市	定居	楷模		
	网络	铁路	毒	定论	侃大山		
	网球	听讲	毒品	定为	看似		
	往	听力	独立	定义	抗争		
	危险	听众	独特	定做	靠拢		
	卫生	通常	独自	丢掉	科幻		
	为	通信	堵	丢脸	可乘之机		
	位	同志	堵车	丢人	可歌可泣		
	味道	痛	赌	丢失	可想而知		
	温度	痛苦	赌博	东道主	刻舟求剑		
	文化	头	肚子	东张西望	空荡荡		
	闻	头脑	度过	董事	空难		
